method,method_label,phase,episodes,collision_count,total_steps,collision_rmst,collisions_per_1000_steps,collision_rate
rnd,DQN + RND,train,500,116,44053,193.46216491624807,2.633191837105305,0.232
rnd,DQN + RND,test,300,152,23262,91.89648134988637,6.534261886338234,0.5066666666666667
