experiment,method,training_duration_seconds,testing_duration_seconds,model_path
standard_epsilon,Epsilon,528.4543218612671,177.5112807750702,/workspace/DQNMedian50/convergence/metadirve/results/results_metadrive_dqn_500_300_500/models/standard_epsilon_model.pt
median_50,Median 50,663.3086361885071,177.52532362937927,/workspace/DQNMedian50/convergence/metadirve/results/results_metadrive_dqn_500_300_500/models/median_50_model.pt
