experiment,method,learning_rate,mean_R,median_R,IQMR,RMST_steps,RMST_tau_steps,RMST_event_definition,average_train_env_reward,median_train_env_reward,std_train_env_reward,average_train_total_reward,std_test_reward,mode_test_reward,min_test_reward,max_test_reward,q1_test_reward,q3_test_reward,convergence_episode,convergence_time_seconds,total_training_wall_time_seconds,train_collision_rate,test_collision_rate,train_goal_rate,test_goal_rate,test_off_road_rate,network_frozen_during_testing
standard_epsilon,Epsilon,5e-05,48.91088611344226,49.135252240026304,48.190015253619876,87.70668225279817,500,collision,37.32541827545717,39.259551068532815,33.1228042329468,39.96172113414445,34.235393360725695,201.325633,-7.5429787410191125,201.3256329251839,21.838190831208696,62.30303879079919,107,87.64851765108108,409.57251238822937,0.23,0.5333333333333333,0.0,0.0,0.55,True
median_50,Median 50,5e-05,53.74719479085468,52.31103023411333,52.80520029501215,128.52596709546634,500,collision,37.85145763304301,34.50595893854155,35.87489817226592,41.12782483596841,35.764041714271656,152.118518,-9.025720439219178,152.11851762716117,36.70103073945592,67.15966064170901,127,139.19852443218232,548.0256867408752,0.156,0.4266666666666667,0.0,0.0,0.6466666666666666,True
