method,method_label,phase,episodes,phase_wall_time_seconds,phase_cpu_time_seconds,summed_episode_wall_time_seconds,summed_episode_cpu_time_seconds,average_wall_time_seconds_per_episode,average_cpu_time_seconds_per_episode
epsilon,Epsilon Greedy,train,500,652.5476534133777,651.6624338620001,652.4955278364941,651.6115840220008,1.3049910556729882,1.3032231680440016
epsilon,Epsilon Greedy,test,300,433.228503908962,432.69685969900013,433.20841154735535,432.677673789,1.4440280384911846,1.4422589126299998
