phase,experiment,method,seed,episode,scenario_seed,initial_observation_sha256,env_reward,training_reward,steps,termination_reason,policy_safety_stop,collision,crash_vehicle,crash_object,out_of_road,goal_reached,max_steps_reached,step_cost,rmst_event_definition,rmst_event_observed,event_or_censor_time_steps,wall_time_seconds,cpu_time_seconds,average_loss,average_rnd_loss,average_rnd_bonus,replay_buffer_size,learn_steps,gamma,learning_rate,epsilon,rnd_beta,noisy_sigma_init,network_frozen,updates_during_test,action_source_counts,mean_lane_boundary_clearance,minimum_lane_boundary_clearance,mean_nearest_collision_hazard_center_distance,minimum_nearest_collision_hazard_center_distance,mean_absolute_lane_offset,maximum_absolute_lane_offset,mean_absolute_heading_error,maximum_absolute_heading_error,mean_ego_speed,maximum_ego_speed
train,Karthikeya27adv8highwayV3,Karthikeya27adv8highwayV3,17,72,89,c12e3a2a05cbd71ed31cfd90e5fa6187615427c078aecb77f6288ff0fe5a7fbf,-49.35,-49.35,3,out_of_road,False,False,False,False,True,False,False,0.0,collision,False,3,0.4669049360018107,0.46675278200000037,27.60676638285319,0.0,0.0,123,60,0.99,5e-05,0.0,0.0,0.0,False,,"{""candidate_created_argmax__candidate_unknown"": 1, ""permanent_pool_best_available"": 1, ""promoted_pool_first_best_available"": 1}",1.6936848163604736,1.081054449081421,30.252635955810547,19.914325714111328,0.30631518363952637,0.9189455509185791,0.603683074315389,1.811049222946167,90.0,90.0
train,Karthikeya27adv8highwayV3,Karthikeya27adv8highwayV3,17,73,90,7608e010784a002bc334553954542298f0942f49afc334823a70f66d3ff18399,-49.9,-49.9,2,out_of_road,False,False,False,False,True,False,False,0.0,collision,False,2,0.3176256669976283,0.31750632800000034,27.091620445251465,0.0,0.0,125,62,0.99,5e-05,0.0,0.0,0.0,False,,"{""candidate_created_argmax__candidate_unknown"": 1, ""permanent_pool_best_available"": 1}",1.4224591255187988,0.8449182510375977,36.94943809509277,23.361846923828125,0.5775408744812012,1.1550817489624023,0.6968249082565308,1.3936498165130615,99.0,108.0
train,Karthikeya27adv8highwayV3,Karthikeya27adv8highwayV3,17,74,91,78dbd1229c114d910bc2941a7f72501ae19d43c38154e1e32182ea3ab587ed36,-49.699999999999996,-49.699999999999996,4,out_of_road,False,False,False,False,True,False,False,0.0,collision,False,4,0.6259141949994955,0.6258540159999981,28.630451202392578,0.0,0.0,129,66,0.99,5e-05,0.0,0.0,0.0,False,,"{""candidate_created_argmax__candidate_unknown"": 2, ""permanent_pool_best_available"": 1, ""promoted_pool_first_best_available"": 1}",2.0,2.0,22.15667152404785,20.979955673217773,0.0,0.0,0.0,0.0,76.5,90.0
train,Karthikeya27adv8highwayV3,Karthikeya27adv8highwayV3,17,75,92,367ff5dcd77ed48e5a49d356f296bcf7fb25b48dda3a5c177660915e4f3f96cd,-48.9,-48.9,3,out_of_road,False,False,False,False,True,False,False,0.0,collision,False,3,0.4692225159960799,0.4690609030000026,27.3326358795166,0.0,0.0,132,69,0.99,5e-05,0.0,0.0,0.0,False,,"{""candidate_created_argmax__candidate_unknown"": 2, ""promoted_pool_first_best_available"": 1}",2.0,2.0,19.12612183888753,15.519862174987793,0.0,0.0,0.0,0.0,90.0,90.0
train,Karthikeya27adv8highwayV3,Karthikeya27adv8highwayV3,17,76,93,561a6064fe3deddb79071c30868c3764e139f3b2b45d5c09524f0fbed76b3566,-43.9,-43.9,11,collision,False,True,True,False,False,False,False,0.0,collision,True,11,1.7034751739993226,1.7028915500000004,27.64004898071289,0.0,0.0,143,80,0.99,5e-05,0.0,0.0,0.0,False,,"{""candidate_created_argmax__candidate_unknown"": 11}",2.0,2.0,13.02243778922341,7.223114013671875,0.0,0.0,0.0,0.0,90.0,90.0
train,Karthikeya27adv8highwayV3,Karthikeya27adv8highwayV3,17,77,94,34529dc1634658388fabc2a1ffa83098415468e471e6b4088aa9d30dfbcf252f,-49.0,-49.0,3,out_of_road,False,False,False,False,True,False,False,0.0,collision,False,3,0.4789647950019571,0.4790075680000001,25.536725997924805,0.0,0.0,146,83,0.99,5e-05,0.0,0.0,0.0,False,,"{""candidate_created_argmax__candidate_unknown"": 2, ""promoted_pool_first_best_available"": 1}",2.0,2.0,18.97640260060628,15.742085456848145,0.0,0.0,0.0,0.0,90.0,90.0
train,Karthikeya27adv8highwayV3,Karthikeya27adv8highwayV3,17,78,95,83e3e2f463f3cd8016b56fd94ba48963f15a87dc06db825aca04cfc724591b30,-50.0,-50.0,2,out_of_road,False,False,False,False,True,False,False,0.0,collision,False,2,0.32188124600361334,0.32180403499999954,24.369622230529785,0.0,0.0,148,85,0.99,5e-05,0.0,0.0,0.0,False,,"{""candidate_created_argmax__candidate_unknown"": 1, ""permanent_pool_best_available"": 1}",1.422459065914154,0.8449181318283081,36.47251319885254,22.59442138671875,0.577540934085846,1.155081868171692,0.6968249082565308,1.3936498165130615,99.0,108.0
train,Karthikeya27adv8highwayV3,Karthikeya27adv8highwayV3,17,79,96,401e9bab837929e2742a24f3335f9c02f88e52cd300095fa8ac33332ef982fc9,-50.0,-50.0,2,out_of_road,False,False,False,False,True,False,False,0.0,collision,False,2,0.3214575120000518,0.3213968680000008,26.677364349365234,0.0,0.0,150,87,0.99,5e-05,0.0,0.0,0.0,False,,"{""candidate_created_argmax__candidate_unknown"": 1, ""permanent_pool_best_available"": 1}",1.513327956199646,1.026655912399292,38.15054893493652,23.762481689453125,0.486672043800354,0.973344087600708,1.1142243146896362,2.2284486293792725,81.0,90.0
train,Karthikeya27adv8highwayV3,Karthikeya27adv8highwayV3,17,80,97,9847a8234c123fe9e105078089433af84f846cd858b53ce5249cc78d9436d05a,-49.4,-49.4,3,out_of_road,False,False,False,False,True,False,False,0.0,collision,False,3,0.4661743439937709,0.4662536039999985,26.556013107299805,0.0,0.0,153,90,0.99,5e-05,0.0,0.0,0.0,False,,"{""candidate_created_argmax__candidate_unknown"": 1, ""permanent_pool_best_available"": 1, ""promoted_pool_first_best_available"": 1}",1.6755520502726238,1.026656150817871,33.73947970072428,24.023242950439453,0.3244479497273763,0.9733438491821289,0.7428162097930908,2.2284486293792725,84.0,90.0
train,Karthikeya27adv8highwayV3,Karthikeya27adv8highwayV3,17,81,98,78f3b1b0cf061d63a7c4ab0a6083f98c53e0b993832195d310045e7dddf76417,-49.45,-49.45,2,out_of_road,False,False,False,False,True,False,False,0.0,collision,False,2,0.3259175819985103,0.32597123800000105,23.982165336608887,0.0,0.0,155,92,0.99,5e-05,0.0,0.0,0.0,False,,"{""candidate_created_argmax__candidate_unknown"": 1, ""promoted_pool_first_best_available"": 1}",2.0,2.0,20.309938430786133,18.381433486938477,0.0,0.0,0.0,0.0,90.0,90.0
