series_id,method,source_kind,source_name,phase,rmst_tau,episodes,collision_count,total_steps,collision_rmst,collisions_per_1000_steps,collision_rate,collision_rmst_ci_low,collision_rmst_ci_high,collisions_per_1000_steps_ci_low,collisions_per_1000_steps_ci_high,collision_rate_ci_low,collision_rate_ci_high
epsilon,Epsilon Greedy,baseline,epsilon,train,500,500,264,2600,7.848115659266469,101.53846153846153,0.528,7.320603098047439,8.421892451334136,92.61342332208474,111.06765741102855,0.484,0.572
epsilon,Epsilon Greedy,baseline,epsilon,test,500,300,298,1670,5.594778293235517,178.4431137724551,0.9933333333333333,5.268314954668909,5.9328859060402666,168.27729346605963,189.48035487959442,0.9833333333333333,1.0
noisy,NoisyNet DQN,baseline,noisy,train,500,500,380,2721,17.630937656160462,139.6545387725101,0.76,6.5427408559892495,29.817826878523377,129.76257745835028,149.52570603601382,0.72,0.796
noisy,NoisyNet DQN,baseline,noisy,test,500,300,300,1697,5.656666666666666,176.78255745433117,1.0,5.313249999999998,6.023333333333333,166.02102933038185,188.20872528100904,1.0,1.0
rnd,DQN + RND,baseline,rnd,train,500,500,267,2531,7.640185117556895,105.49190043461083,0.534,7.116905864708886,8.19019265970375,96.44087256027555,115.14709343437522,0.49,0.578
rnd,DQN + RND,baseline,rnd,test,500,300,298,1700,5.693764127764128,175.2941176470588,0.9933333333333333,5.344777440033087,6.053130985405524,164.82285538192568,186.79262905613382,0.9833333333333333,1.0
Karthikeya27adv23,Policy (Karthikeya27adv23),policy,Karthikeya27adv23,train,500,500,430,4343,9.81260546837242,99.00990099009901,0.86,9.145618386452526,10.53315985620076,92.27406235721368,106.25505336968052,0.83,0.89
Karthikeya27adv23,Policy (Karthikeya27adv23),policy,Karthikeya27adv23,test,500,300,300,2009,6.696666666666667,149.32802389248383,1.0,6.263333333333333,7.16,139.66480446927375,159.6593932943055,1.0,1.0
