method,method_label,phase,episodes,phase_wall_time_seconds,phase_cpu_time_seconds,summed_episode_wall_time_seconds,summed_episode_cpu_time_seconds,average_wall_time_seconds_per_episode,average_cpu_time_seconds_per_episode
Karthikeya27adv8highway,Karthikeya27adv8highway,train,500,401.32897648200014,401.431719499,401.18660644596093,401.2901652340006,0.8023732128919219,0.8025803304680011
Karthikeya27adv8highway,Karthikeya27adv8highway,test,300,242.40963150300377,242.57973053000006,242.4002244739968,242.570913616999,0.8080007482466559,0.8085697120566634
