series_id,method,source_kind,source_name,phase,rmst_tau,episodes,collision_count,total_steps,collision_rmst,collisions_per_1000_steps,collision_rate,collision_rmst_ci_low,collision_rmst_ci_high,collisions_per_1000_steps_ci_low,collisions_per_1000_steps_ci_high,collision_rate_ci_low,collision_rate_ci_high
epsilon,Epsilon Greedy,baseline,epsilon,train,500,500,281,2304,62.94200731253384,121.96180555555556,0.562,40.39288825281731,87.27042416253113,111.40689652765296,133.0364791944815,0.52,0.606
epsilon,Epsilon Greedy,baseline,epsilon,test,500,300,300,1568,5.226666666666667,191.3265306122449,1.0,5.003333333333333,5.449999999999999,183.4862385321101,199.86675549633577,1.0,1.0
noisy,NoisyNet DQN,baseline,noisy,train,500,500,422,2691,6.039501171525137,156.81902638424378,0.844,5.752741539874539,6.353148196718789,148.89063744134944,164.9923688478584,0.81,0.876
noisy,NoisyNet DQN,baseline,noisy,test,500,300,300,1697,5.656666666666666,176.78255745433117,1.0,5.313249999999998,6.023333333333333,166.02102933038185,188.20872528100904,1.0,1.0
rnd,DQN + RND,baseline,rnd,train,500,500,281,2304,61.93944042186001,121.96180555555556,0.562,38.69967953136264,86.0469536524699,111.44965120247933,133.09032810214907,0.51995,0.604
rnd,DQN + RND,baseline,rnd,test,500,300,299,1578,5.263333333333333,189.48035487959442,0.9966666666666667,5.039999999999999,10.11,181.42816991296345,198.67549668874173,0.99,1.0
Karthikeya27adv23,Policy (Karthikeya27adv23),policy,Karthikeya27adv23,train,500,500,491,2854,7.632291411241787,172.03924316748424,0.982,5.505421531295151,10.7277186474913,161.4479228514445,182.35516731560313,0.97,0.992
Karthikeya27adv23,Policy (Karthikeya27adv23),policy,Karthikeya27adv23,test,500,300,300,1697,5.656666666666666,176.78255745433117,1.0,5.313333333333333,6.03,165.8374792703151,188.20577164366375,1.0,1.0
