phase,experiment,method,episode,env_reward,training_reward,steps,termination_reason,ended_before_max_steps,collision,collision_actor_type,collision_actor_id,collision_actor_role_name,collision_intensity,stuck,stuck_step_count,wall_time_seconds,cpu_time_seconds,gpu_time_seconds,gpu_memory_mb,process_memory_mb,ram_used_mb,ram_total_mb,ram_percent,gpu_util_percent,gpu_memory_used_mb_smi,gpu_memory_total_mb_smi,gpu_power_watts,gpu_temperature_c,average_loss,loss_updates,average_rnd_intrinsic,average_count_intrinsic,average_rnd_loss,epsilon,gamma,learning_rate,lr_multiplier,dqn_technology,rnd_beta,count_beta,count_state_bin_size,action_source_counts
train,rnd_count,RND + Count,12,681.2445097384382,697.2941586678287,500,max_steps,False,False,none,-1,,0.0,False,0,9.972291946411133,6.153023874000155,9.97199609375,2.52587890625,0.0,0.0,0.0,0.0,37.0,6250.0,49140.0,111.1,35.0,10.398593840673566,500,0.5345381033513695,0.02675391682526606,0.5345381033513695,0.2,0.99,5e-05,1.0,Set3: Noisy/RND/Count candidate ensemble,0.01,0.05,1.0,{'rnd_epsilon': 500}
train,rnd_count,RND + Count,13,790.4292037566112,805.3677301767074,500,max_steps,False,False,none,-1,,0.0,False,0,9.789682388305664,5.906882726000276,9.789267578125,2.52587890625,0.0,0.0,0.0,0.0,32.0,6250.0,49140.0,110.09,35.0,14.485487379580736,500,0.2674128547555301,0.02720292429263792,0.2674128547555301,0.2,0.99,5e-05,1.0,Set3: Noisy/RND/Count candidate ensemble,0.01,0.05,1.0,{'rnd_epsilon': 500}
train,rnd_count,RND + Count,14,771.3886368859802,784.3795714756321,500,max_steps,False,False,none,-1,,0.0,False,0,8.809270143508911,4.773150320999775,8.808888671875,2.52587890625,0.0,0.0,0.0,0.0,30.0,6250.0,49140.0,110.85,35.0,14.582029418215155,500,0.3252144750173902,0.02272972442913082,0.3252144750173902,0.2,0.99,5e-05,1.0,Set3: Noisy/RND/Count candidate ensemble,0.01,0.05,1.0,{'rnd_epsilon': 500}
train,rnd_count,RND + Count,15,854.3562563514747,867.9921269644137,500,max_steps,False,False,none,-1,,0.0,False,0,8.432668209075928,5.1332977659999415,8.432673828125,2.52587890625,0.0,0.0,0.0,0.0,34.0,6250.0,49140.0,138.25,36.0,11.65400922872126,500,0.15793594372458755,0.02569238178863584,0.15793594372458755,0.2,0.99,5e-05,1.0,Set3: Noisy/RND/Count candidate ensemble,0.01,0.05,1.0,{'rnd_epsilon': 500}
train,rnd_count,RND + Count,16,467.9893420361068,480.56044702638394,445,collision,True,True,static.vegetation,0,,13217.221453335262,False,0,8.346609115600586,5.109529506000399,8.3464755859375,2.52587890625,0.0,0.0,0.0,0.0,30.0,6250.0,49140.0,132.88,36.0,11.562569668420245,445,0.10589551052465784,0.027190719030208695,0.10589551052465784,0.2,0.99,5e-05,1.0,Set3: Noisy/RND/Count candidate ensemble,0.01,0.05,1.0,{'rnd_epsilon': 445}
train,rnd_count,RND + Count,17,793.5944304958003,806.6558505955887,500,max_steps,False,False,none,-1,,0.0,False,0,10.116274356842041,5.9947819490002985,10.116060546875,2.52587890625,0.0,0.0,0.0,0.0,36.0,6250.0,49140.0,112.22,35.0,19.584481441378593,500,0.10957847582409158,0.025027055441335735,0.10957847582409158,0.2,0.99,5e-05,1.0,Set3: Noisy/RND/Count candidate ensemble,0.01,0.05,1.0,{'rnd_epsilon': 500}
train,rnd_count,RND + Count,18,837.5444018972522,849.488738997655,500,max_steps,False,False,none,-1,,0.0,False,0,9.439918518066406,5.754969515000084,9.4395703125,2.52587890625,0.0,0.0,0.0,0.0,36.0,6250.0,49140.0,129.9,36.0,11.146563317433,500,0.08202867984416662,0.023068387402362264,0.08202867984416662,0.2,0.99,5e-05,1.0,Set3: Noisy/RND/Count candidate ensemble,0.01,0.05,1.0,{'rnd_epsilon': 500}
train,rnd_count,RND + Count,19,405.37971165250633,417.3664815900647,418,collision,True,True,static.vegetation,0,,8785.49747683233,False,0,8.623026847839355,5.144617159000063,8.6224365234375,2.52587890625,0.0,0.0,0.0,0.0,40.0,6250.0,49140.0,148.37,36.0,14.335645672129957,418,0.09368097608737451,0.027739673343333705,0.09368097608737451,0.2,0.99,5e-05,1.0,Set3: Noisy/RND/Count candidate ensemble,0.01,0.05,1.0,{'rnd_epsilon': 418}
train,rnd_count,RND + Count,20,758.7114571777412,772.6315075480248,500,max_steps,False,False,none,-1,,0.0,False,0,9.388896703720093,5.9859593250002945,9.3886044921875,2.52587890625,0.0,0.0,0.0,0.0,34.0,6250.0,49140.0,118.79,36.0,17.07864766857028,500,0.6582864835123764,0.02125723590544593,0.6582864835123764,0.2,0.99,5e-05,1.0,Set3: Noisy/RND/Count candidate ensemble,0.01,0.05,1.0,{'rnd_epsilon': 500}
train,rnd_count,RND + Count,21,413.73096798847104,428.11232046145716,381,collision,True,True,static.static,0,,7455.492440947167,False,0,7.774080514907837,4.823250596000435,7.773736328125,2.52587890625,0.0,0.0,0.0,0.0,30.0,6250.0,49140.0,112.38,35.0,27.64547909594818,381,1.1395900568281963,0.02635043138181346,1.1395900568281963,0.2,0.99,5e-05,1.0,Set3: Noisy/RND/Count candidate ensemble,0.01,0.05,1.0,{'rnd_epsilon': 381}
