experiment,method,lr_multiplier,learning_rate,final_learning_rate,average_train_reward,median_train_reward,std_train_reward,min_train_reward,max_train_reward,q1_train_reward,q3_train_reward,average_test_reward,median_test_reward,mode_test_reward,min_test_reward,max_test_reward,range_test_reward,std_test_reward,q1_test_reward,q3_test_reward,convergence_episode,convergence_time_seconds,convergence_cpu_time_seconds,convergence_gpu_time_seconds,total_training_wall_time_seconds,total_training_cpu_time_seconds,total_training_gpu_time_seconds,total_training_episodes,dqn_technology,rnd_beta,count_beta,count_state_bin_size,network_frozen_during_testing
noisy_count,Noisy + Count,1.0,5e-05,5e-05,1214.5143899862146,1215.7143872382444,9.500642189094313,1151.868480018563,1236.6915206073302,1211.1674494820236,1220.5115861120423,1192.9386196458906,1196.4349876633887,1223.718569,126.52394305048266,1223.718568987807,1097.1946259373244,62.15656778982954,1191.7893720786128,1200.9618555793543,10,84.0608098936081,52.28257364644001,84.05783809570316,4203.040494680405,2614.1286823220003,4202.891904785158,500,Set3: Noisy/RND/Count candidate ensemble,0.01,0.05,1.0,True
rnd_count,RND + Count,1.0,5e-05,5e-05,647.81542242369,762.8727181743682,298.9057098035816,-197.9932234668401,1075.5544406213287,457.1843806563692,876.3132417318293,140.88101031951084,141.08789567596384,147.331849,125.73650366061612,147.3318487282636,21.59534506764747,3.505456609100392,138.99446437005767,143.2072253063947,10,76.47529856204987,48.4023419283999,76.47206324337007,3823.7649281024933,2420.117096419995,3823.603162168504,500,Set3: Noisy/RND/Count candidate ensemble,0.01,0.05,1.0,True
ensemble_own_noisy_rnd_count,Ensemble,1.0,5e-05,5e-05,389.9071850930627,404.4499098829343,72.97879501218581,120.22245884169135,494.23973112190816,384.0303878222637,424.3253105109746,140.9220335643866,141.12621437044868,147.312047,126.6032462844523,147.31204718555142,20.708800901099124,3.024351862938459,139.00756489235417,143.19737648304556,10,99.51982067108155,72.09468643636002,99.51711980712889,4975.991033554077,3604.7343218180013,4975.855990356445,500,Set3: Noisy/RND/Count candidate ensemble,0.01,0.05,1.0,True
