phase,experiment,method,episode,env_reward,training_reward,steps,termination_reason,ended_before_max_steps,collision,collision_actor_type,collision_actor_id,collision_actor_role_name,collision_intensity,stuck,stuck_step_count,wall_time_seconds,cpu_time_seconds,gpu_time_seconds,gpu_memory_mb,process_memory_mb,ram_used_mb,ram_total_mb,ram_percent,gpu_util_percent,gpu_memory_used_mb_smi,gpu_memory_total_mb_smi,gpu_power_watts,gpu_temperature_c,average_loss,loss_updates,average_rnd_intrinsic,average_count_intrinsic,average_rnd_loss,epsilon,gamma,learning_rate,lr_multiplier,dqn_technology,rnd_beta,count_beta,count_state_bin_size,action_source_counts
train,noisy_count,Noisy + Count,13,1202.5121645250103,1204.9574951584268,500,max_steps,False,False,none,-1,,0.0,False,0,7.553495407104492,4.609604806999997,7.5531513671875,2.03515625,0.0,0.0,0.0,0.0,45.0,6250.0,49140.0,158.2,38.0,4.775732858480886,500,0.0,0.0048906612668343785,0.0,0.2,0.99,5e-05,1.0,Set3: Noisy/RND/Count candidate ensemble,0.01,0.05,1.0,{'noisy_policy': 500}
train,noisy_count,Noisy + Count,14,1205.791648131427,1208.073926317686,500,max_steps,False,False,none,-1,,0.0,False,0,7.390366077423096,4.781823891000002,7.3905185546875,2.03515625,0.0,0.0,0.0,0.0,40.0,6250.0,49140.0,133.54,38.0,4.3545716134049,500,0.0,0.0045645563725194285,0.0,0.2,0.99,5e-05,1.0,Set3: Noisy/RND/Count candidate ensemble,0.01,0.05,1.0,{'noisy_policy': 500}
train,noisy_count,Noisy + Count,15,1209.9530778117248,1212.1205205110448,500,max_steps,False,False,none,-1,,0.0,False,0,7.790432691574097,4.845195809000003,7.79007958984375,2.03515625,0.0,0.0,0.0,0.0,37.0,6250.0,49140.0,147.67,39.0,4.378652858460322,500,0.0,0.004334885398638923,0.0,0.2,0.99,5e-05,1.0,Set3: Noisy/RND/Count candidate ensemble,0.01,0.05,1.0,{'noisy_policy': 500}
train,noisy_count,Noisy + Count,16,1209.388780489255,1211.5240643178588,500,max_steps,False,False,none,-1,,0.0,False,0,7.774099349975586,5.133312306999997,7.77364208984375,2.03515625,0.0,0.0,0.0,0.0,39.0,6250.0,49140.0,150.16,38.0,3.6999597349241378,500,0.0,0.004270567657206198,0.0,0.2,0.99,5e-05,1.0,Set3: Noisy/RND/Count candidate ensemble,0.01,0.05,1.0,{'noisy_policy': 500}
train,noisy_count,Noisy + Count,17,1214.3268345441322,1216.3731464373473,500,max_steps,False,False,none,-1,,0.0,False,0,8.210435390472412,5.157343144000009,8.209947265625,2.03515625,0.0,0.0,0.0,0.0,37.0,6250.0,49140.0,150.88,38.0,3.4885010909903795,500,0.0,0.004092623786428742,0.0,0.2,0.99,5e-05,1.0,Set3: Noisy/RND/Count candidate ensemble,0.01,0.05,1.0,{'noisy_policy': 500}
train,noisy_count,Noisy + Count,18,1217.770906354658,1219.7461657668296,500,max_steps,False,False,none,-1,,0.0,False,0,7.9050962924957275,4.854172683000002,7.90476611328125,2.03515625,0.0,0.0,0.0,0.0,36.0,6250.0,49140.0,129.21,38.0,3.3045255122762174,500,0.0,0.003950518824343644,0.0,0.2,0.99,5e-05,1.0,Set3: Noisy/RND/Count candidate ensemble,0.01,0.05,1.0,{'noisy_policy': 500}
train,noisy_count,Noisy + Count,19,1206.678062988465,1208.7185822495283,500,max_steps,False,False,none,-1,,0.0,False,0,7.885802984237671,4.860240327,7.88542236328125,2.03515625,0.0,0.0,0.0,0.0,35.0,6250.0,49140.0,122.46,37.0,2.753813755474985,500,0.0,0.004081038522125901,0.0,0.2,0.99,5e-05,1.0,Set3: Noisy/RND/Count candidate ensemble,0.01,0.05,1.0,{'noisy_policy': 500}
train,noisy_count,Noisy + Count,20,1212.4888434610305,1214.3781712937055,500,max_steps,False,False,none,-1,,0.0,False,0,7.666350364685059,4.48535193699999,7.66608984375,2.03515625,0.0,0.0,0.0,0.0,34.0,6250.0,49140.0,149.48,38.0,2.8171311727277937,500,0.0,0.0037786556653462465,0.0,0.2,0.99,5e-05,1.0,Set3: Noisy/RND/Count candidate ensemble,0.01,0.05,1.0,{'noisy_policy': 500}
train,noisy_count,Noisy + Count,21,1206.545777963351,1208.4383516965588,500,max_steps,False,False,none,-1,,0.0,False,0,7.445294618606567,4.557772575000001,7.44488037109375,2.03515625,0.0,0.0,0.0,0.0,38.0,6250.0,49140.0,150.89,38.0,2.6540997944548725,500,0.0,0.0037851474664149054,0.0,0.2,0.99,5e-05,1.0,Set3: Noisy/RND/Count candidate ensemble,0.01,0.05,1.0,{'noisy_policy': 500}
train,noisy_count,Noisy + Count,22,1210.213342717728,1212.0144263862235,500,max_steps,False,False,none,-1,,0.0,False,0,8.018739938735962,4.672989994999995,8.01884814453125,2.03515625,0.0,0.0,0.0,0.0,40.0,6250.0,49140.0,114.23,37.0,2.4822000276669858,500,0.0,0.003602167336988905,0.0,0.2,0.99,5e-05,1.0,Set3: Noisy/RND/Count candidate ensemble,0.01,0.05,1.0,{'noisy_policy': 500}
