phase,experiment,method,episode,env_reward,training_reward,steps,wall_time_seconds,cpu_time_seconds,gpu_time_seconds,gpu_memory_mb,process_memory_mb,gpu_util_percent,gpu_memory_used_mb_smi,gpu_memory_total_mb_smi,gpu_power_watts,gpu_temperature_c,average_loss,loss_updates,average_rnd_intrinsic,average_count_intrinsic,average_rnd_loss,replay_buffer_size,learn_steps,epsilon,gamma,learning_rate,lr_multiplier,dqn_technology,rnd_beta,count_beta,count_state_bin_size,action_source_counts
train,median_50,Median 50,11,960.8767246319167,968.9288114043248,500,11.211592435836792,7.6131059210001695,11.2111865234375,3.74951171875,0.0,36.0,4437.0,49140.0,119.25,36.0,0.16357325080037116,500,0.02055220319906948,0.015898651512827825,0.02055220319906948,3630,3567,0.2,0.99,0.0001,1.0,DQN + RND + CountBased + TargetNetwork + ReplayBuffer + Adam,0.01,0.05,1.0,"{'median50_explore': 106, 'greedy': 394}"
train,median_50,Median 50,12,1080.4375655815861,1085.5758976719817,500,11.812855005264282,8.139785803999985,11.8124501953125,3.74951171875,0.0,42.0,4437.0,49140.0,150.24,38.0,0.17405841842666267,500,0.021859275899718342,0.010058071421794554,0.021859275899718342,4130,4067,0.2,0.99,0.0001,1.0,DQN + RND + CountBased + TargetNetwork + ReplayBuffer + Adam,0.01,0.05,1.0,"{'greedy': 402, 'median50_explore': 98}"
train,median_50,Median 50,13,1110.2665411315052,1115.9228676485027,500,10.718775033950806,8.044115562000115,10.718353515625,3.74951171875,0.0,38.0,4437.0,49140.0,147.07,38.0,0.1533193932902068,500,0.00545328047291332,0.01125812022926785,0.00545328047291332,4630,4567,0.2,0.99,0.0001,1.0,DQN + RND + CountBased + TargetNetwork + ReplayBuffer + Adam,0.01,0.05,1.0,"{'greedy': 416, 'median50_explore': 84}"
train,median_50,Median 50,14,923.2086925024865,932.4024302858344,500,11.472839117050171,7.629016826999759,11.472244140625,3.74951171875,0.0,36.0,4437.0,49140.0,114.58,37.0,0.17105194929149,500,0.014790651689727383,0.01823956904979722,0.014790651689727383,5130,5067,0.2,0.99,0.0001,1.0,DQN + RND + CountBased + TargetNetwork + ReplayBuffer + Adam,0.01,0.05,1.0,"{'greedy': 395, 'median50_explore': 105}"
train,median_50,Median 50,15,983.8194181683443,994.3328007783768,500,10.825576305389404,7.014257028000429,10.82519140625,3.74951171875,0.0,40.0,4437.0,49140.0,129.08,37.0,0.1415064155785367,500,0.023403631978246266,0.020792728900283403,0.023403631978246266,5630,5567,0.2,0.99,0.0001,1.0,DQN + RND + CountBased + TargetNetwork + ReplayBuffer + Adam,0.01,0.05,1.0,"{'greedy': 400, 'median50_explore': 100}"
train,median_50,Median 50,16,124.33313275192701,124.53537846591485,58,1.2749810218811035,0.9992916909995984,1.2745960693359375,3.74951171875,0.0,40.0,4437.0,49140.0,143.74,37.0,0.14498267531523418,58,0.02060302898161322,0.0032809647789394628,0.02060302898161322,5688,5625,0.2,0.99,0.0001,1.0,DQN + RND + CountBased + TargetNetwork + ReplayBuffer + Adam,0.01,0.05,1.0,"{'greedy': 47, 'median50_explore': 11}"
train,median_50,Median 50,17,126.47847307709485,126.67622157304464,59,1.222181797027588,0.9655144309999741,1.2218331298828125,3.74951171875,0.0,36.0,4437.0,49140.0,147.8,38.0,0.1366230399521478,59,0.024426932105798497,0.0031074001018196636,0.024426932105798497,5747,5684,0.2,0.99,0.0001,1.0,DQN + RND + CountBased + TargetNetwork + ReplayBuffer + Adam,0.01,0.05,1.0,"{'greedy': 46, 'median50_explore': 13}"
train,median_50,Median 50,18,126.47876799781963,126.67096701834978,59,1.3443717956542969,0.9296398500000578,1.3440125732421875,3.74951171875,0.0,35.0,4437.0,49140.0,137.36,37.0,0.13301661911310028,59,0.021462437733258042,0.003042986140128091,0.021462437733258042,5806,5743,0.2,0.99,0.0001,1.0,DQN + RND + CountBased + TargetNetwork + ReplayBuffer + Adam,0.01,0.05,1.0,"{'greedy': 50, 'median50_explore': 9}"
train,median_50,Median 50,19,122.18815555939344,122.36535541519025,57,1.2884585857391357,0.9710260039992136,1.288112548828125,3.74951171875,0.0,41.0,4437.0,49140.0,117.3,37.0,0.12881567299758134,57,0.016981852621763226,0.0029389508737270877,0.016981852621763226,5863,5800,0.2,0.99,0.0001,1.0,DQN + RND + CountBased + TargetNetwork + ReplayBuffer + Adam,0.01,0.05,1.0,"{'greedy': 38, 'median50_explore': 19}"
train,median_50,Median 50,20,986.5799299872292,992.9983849935174,500,11.33344054222107,7.4917453289999685,11.3331220703125,3.74951171875,0.0,38.0,4437.0,49140.0,130.88,37.0,0.19449889194220304,500,0.033553277647833966,0.01250137723609725,0.033553277647833966,6363,6300,0.2,0.99,0.0001,1.0,DQN + RND + CountBased + TargetNetwork + ReplayBuffer + Adam,0.01,0.05,1.0,"{'greedy': 407, 'median50_explore': 93}"
train,median_50,Median 50,21,860.614407402356,871.956685911886,500,11.138223886489868,7.849447204000171,11.1378662109375,3.74951171875,0.0,38.0,4437.0,49140.0,126.91,36.0,0.17009217774681748,500,0.04252547156082073,0.02225930230344863,0.04252547156082073,6863,6800,0.2,0.99,0.0001,1.0,DQN + RND + CountBased + TargetNetwork + ReplayBuffer + Adam,0.01,0.05,1.0,"{'greedy': 397, 'median50_explore': 103}"
train,median_50,Median 50,22,124.39761293500761,124.57108377731235,58,1.3868403434753418,0.8832030839994331,1.386636962890625,3.74951171875,0.0,34.0,4437.0,49140.0,114.23,36.0,0.09468308189113078,58,0.027185880526868177,0.0027190177861928866,0.027185880526868177,6921,6858,0.2,0.99,0.0001,1.0,DQN + RND + CountBased + TargetNetwork + ReplayBuffer + Adam,0.01,0.05,1.0,"{'greedy': 51, 'median50_explore': 7}"
train,median_50,Median 50,23,894.3194051474233,903.8822211280446,500,10.994396924972534,7.189372470999842,10.993990234375,3.74951171875,0.0,32.0,4437.0,49140.0,138.19,37.0,0.19528710353560746,500,0.02430471485180169,0.01888258481272672,0.02430471485180169,7421,7358,0.2,0.99,0.0001,1.0,DQN + RND + CountBased + TargetNetwork + ReplayBuffer + Adam,0.01,0.05,1.0,"{'greedy': 410, 'median50_explore': 90}"
