phase,experiment,method,episode,env_reward,training_reward,steps,wall_time_seconds,cpu_time_seconds,gpu_time_seconds,gpu_memory_mb,process_memory_mb,gpu_util_percent,gpu_memory_used_mb_smi,gpu_memory_total_mb_smi,gpu_power_watts,gpu_temperature_c,average_loss,loss_updates,average_rnd_intrinsic,average_count_intrinsic,average_rnd_loss,replay_buffer_size,learn_steps,epsilon,gamma,learning_rate,lr_multiplier,dqn_technology,rnd_beta,count_beta,count_state_bin_size,action_source_counts
train,median_50_first,Median First,14,901.7349335414644,910.6336870461142,500,10.724861145019531,7.556935866999993,10.7246435546875,2.8779296875,0.0,32.0,4437.0,49140.0,132.45,37.0,0.1242602507378906,500,0.027726664424790215,0.017520240365052422,0.027726664424790215,5611,5548,0.2,0.99,0.0001,1.0,DQN + RND + CountBased + TargetNetwork + ReplayBuffer + Adam,0.01,0.05,1.0,{'median_first_phase': 500}
train,median_50_first,Median First,15,128.55945897987922,128.77051152501375,60,1.2100653648376465,0.7822491899999022,1.2098402099609376,2.8779296875,0.0,38.0,4437.0,49140.0,130.52,37.0,0.13151305851837,60,0.013079233659179105,0.003386750082316949,0.013079233659179105,5671,5608,0.2,0.99,0.0001,1.0,DQN + RND + CountBased + TargetNetwork + ReplayBuffer + Adam,0.01,0.05,1.0,{'median_first_phase': 60}
train,median_50_first,Median First,16,126.39181655166877,126.58475500838885,59,1.2500042915344238,0.9386060690001159,1.2496436767578125,2.8779296875,0.0,34.0,4437.0,49140.0,148.46,38.0,0.17250036344058434,59,0.013771385819428222,0.0031324294760441,0.013771385819428222,5730,5667,0.2,0.99,0.0001,1.0,DQN + RND + CountBased + TargetNetwork + ReplayBuffer + Adam,0.01,0.05,1.0,{'median_first_phase': 59}
train,median_50_first,Median First,17,124.32241018364924,124.50940381323637,58,1.1375560760498047,0.7265779399999701,1.1372208251953124,2.8779296875,0.0,36.0,4437.0,49140.0,150.73,37.0,0.08746621889415486,58,0.012130598482426962,0.0031027221115060054,0.012130598482426962,5788,5725,0.2,0.99,0.0001,1.0,DQN + RND + CountBased + TargetNetwork + ReplayBuffer + Adam,0.01,0.05,1.0,{'median_first_phase': 58}
train,median_50_first,Median First,18,126.48070250132153,126.66381085001657,59,1.2594666481018066,0.9690176219999103,1.2591070556640624,2.8779296875,0.0,39.0,4437.0,49140.0,148.39,38.0,0.10615923345657223,59,0.011482497973671436,0.002988706354077606,0.011482497973671436,5847,5784,0.2,0.99,0.0001,1.0,DQN + RND + CountBased + TargetNetwork + ReplayBuffer + Adam,0.01,0.05,1.0,{'median_first_phase': 59}
train,median_50_first,Median First,19,932.7813790110569,941.1382206469466,500,10.405914306640625,6.952023671999996,10.4051123046875,2.8779296875,0.0,32.0,4437.0,49140.0,121.96,37.0,0.146079806804657,500,0.07121100611178008,0.01600157321066287,0.07121100611178008,6347,6284,0.2,0.99,0.0001,1.0,DQN + RND + CountBased + TargetNetwork + ReplayBuffer + Adam,0.01,0.05,1.0,{'median_first_phase': 500}
train,median_50_first,Median First,20,124.37540483752248,124.55079650083474,58,1.3380076885223389,0.8472797219999393,1.3376165771484374,2.8779296875,0.0,37.0,4437.0,49140.0,115.54,36.0,0.14562631597549752,58,0.01881051354074112,0.002835889059630971,0.01881051354074112,6405,6342,0.2,0.99,0.0001,1.0,DQN + RND + CountBased + TargetNetwork + ReplayBuffer + Adam,0.01,0.05,1.0,{'median_first_phase': 58}
train,median_50_first,Median First,21,128.6191460339368,128.80703775506083,60,1.0966546535491943,0.6747820129999127,1.0963900146484375,2.8779296875,0.0,36.0,4437.0,49140.0,116.77,36.0,0.11987463173766931,60,0.012669584656638715,0.0030048328388341096,0.012669584656638715,6465,6402,0.2,0.99,0.0001,1.0,DQN + RND + CountBased + TargetNetwork + ReplayBuffer + Adam,0.01,0.05,1.0,{'median_first_phase': 60}
train,median_50_first,Median First,22,1032.3078775317072,1038.7230208927435,500,11.50327730178833,7.933877395000081,11.5030029296875,2.8779296875,0.0,35.0,4437.0,49140.0,129.26,36.0,0.12298727015778423,500,0.009331473410848048,0.012736971987963136,0.009331473410848048,6965,6902,0.2,0.99,0.0001,1.0,DQN + RND + CountBased + TargetNetwork + ReplayBuffer + Adam,0.01,0.05,1.0,{'median_first_phase': 500}
train,median_50_first,Median First,23,124.44266515638685,124.60491788833612,58,1.2668359279632568,0.9018179720001172,1.2664415283203125,2.8779296875,0.0,42.0,4437.0,49140.0,128.9,36.0,0.07506163450407571,58,0.00954939012745885,0.0027019669944029503,0.00954939012745885,7023,6960,0.2,0.99,0.0001,1.0,DQN + RND + CountBased + TargetNetwork + ReplayBuffer + Adam,0.01,0.05,1.0,{'median_first_phase': 58}
