phase,experiment,method,episode,env_reward,training_reward,steps,wall_time_seconds,cpu_time_seconds,gpu_time_seconds,gpu_memory_mb,process_memory_mb,gpu_util_percent,gpu_memory_used_mb_smi,gpu_memory_total_mb_smi,gpu_power_watts,gpu_temperature_c,average_loss,loss_updates,average_rnd_intrinsic,average_count_intrinsic,average_rnd_loss,replay_buffer_size,learn_steps,epsilon,gamma,learning_rate,lr_multiplier,dqn_technology,rnd_beta,count_beta,count_state_bin_size,action_source_counts
train,ensemble_epsilon_medianfirst_median50,Ensemble,11,1208.9983539732755,1211.5708806776443,500,11.190632104873657,7.986419935000413,11.1903232421875,4.62109375,0.0,34.0,4439.0,49140.0,146.42,39.0,0.04341272522730287,500,0.01175379527134612,0.005027515456025941,0.01175379527134612,6000,5937,0.2,0.99,0.0001,1.0,DQN + RND + CountBased + TargetNetwork + ReplayBuffer + Adam,0.01,0.05,1.0,"{'ensemble_own': 452, 'ensemble_median_50_first': 48}"
train,ensemble_epsilon_medianfirst_median50,Ensemble,12,1241.0416878898077,1243.5556535423311,500,10.809619903564453,7.3170400099998005,10.809203125,4.62109375,0.0,35.0,4439.0,49140.0,147.23,39.0,0.06675375918368809,500,0.012342157693433706,0.004904509728118358,0.012342157693433706,6500,6437,0.2,0.99,0.0001,1.0,DQN + RND + CountBased + TargetNetwork + ReplayBuffer + Adam,0.01,0.05,1.0,"{'ensemble_own': 473, 'ensemble_median_50_first': 27}"
train,ensemble_epsilon_medianfirst_median50,Ensemble,13,1244.864283696462,1247.2830936282248,500,11.105751276016235,7.3787952950006,11.1053515625,4.62109375,0.0,39.0,4439.0,49140.0,124.06,38.0,0.0507193414203357,500,0.018194004538556328,0.004655679818138221,0.018194004538556328,7000,6937,0.2,0.99,0.0001,1.0,DQN + RND + CountBased + TargetNetwork + ReplayBuffer + Adam,0.01,0.05,1.0,"{'ensemble_own': 467, 'ensemble_median_50_first': 33}"
train,ensemble_epsilon_medianfirst_median50,Ensemble,14,1246.4779210687673,1248.7760546590507,500,10.793899774551392,7.789704277000055,10.7935947265625,4.62109375,0.0,45.0,4439.0,49140.0,153.54,39.0,0.08693443400855176,500,0.014751022776861532,0.004448756952801291,0.014751022776861532,7500,7437,0.2,0.99,0.0001,1.0,DQN + RND + CountBased + TargetNetwork + ReplayBuffer + Adam,0.01,0.05,1.0,"{'ensemble_own': 466, 'ensemble_median_50_first': 33, 'ensemble_median_50': 1}"
train,ensemble_epsilon_medianfirst_median50,Ensemble,15,1249.0621059115153,1251.3644995382751,500,11.770129203796387,8.690705519999938,11.7697509765625,4.62109375,0.0,43.0,4439.0,49140.0,156.19,39.0,0.05876134939293843,500,0.01119295622534338,0.004492857691263717,0.01119295622534338,8000,7937,0.2,0.99,0.0001,1.0,DQN + RND + CountBased + TargetNetwork + ReplayBuffer + Adam,0.01,0.05,1.0,"{'ensemble_own': 474, 'ensemble_median_50_first': 25, 'ensemble_median_50': 1}"
train,ensemble_epsilon_medianfirst_median50,Ensemble,16,1243.7756390736226,1245.9303968213524,500,10.14323878288269,7.116032658999757,10.1430234375,4.62109375,0.0,35.0,4439.0,49140.0,147.32,39.0,0.0803223713603802,500,0.0077533246575314935,0.004231982248885775,0.0077533246575314935,8500,8437,0.2,0.99,0.0001,1.0,DQN + RND + CountBased + TargetNetwork + ReplayBuffer + Adam,0.01,0.05,1.0,"{'ensemble_own': 454, 'ensemble_median_50_first': 46}"
train,ensemble_epsilon_medianfirst_median50,Ensemble,17,1247.4110184200217,1249.5530201380946,500,10.809638261795044,6.990786074000425,10.8095048828125,4.62109375,0.0,31.0,4439.0,49140.0,124.79,38.0,0.05559625836601481,500,0.009292795926455483,0.004191075476881431,0.009292795926455483,9000,8937,0.2,0.99,0.0001,1.0,DQN + RND + CountBased + TargetNetwork + ReplayBuffer + Adam,0.01,0.05,1.0,"{'ensemble_own': 462, 'ensemble_median_50_first': 38}"
train,ensemble_epsilon_medianfirst_median50,Ensemble,18,1245.917884732596,1247.9938452047882,500,11.503597974777222,7.843118542000411,11.503513671875,4.62109375,0.0,36.0,4439.0,49140.0,135.41,38.0,0.08383805793826468,500,0.011546093887214625,0.004036460005513114,0.011546093887214625,9500,9437,0.2,0.99,0.0001,1.0,DQN + RND + CountBased + TargetNetwork + ReplayBuffer + Adam,0.01,0.05,1.0,"{'ensemble_own': 472, 'ensemble_median_50_first': 28}"
train,ensemble_epsilon_medianfirst_median50,Ensemble,19,1177.0485075229292,1179.9966617917898,500,11.204850673675537,7.392860584000118,11.2045068359375,4.62109375,0.0,36.0,4439.0,49140.0,117.2,37.0,0.06057981934887357,500,0.00796843563714242,0.005816624181347365,0.00796843563714242,10000,9937,0.2,0.99,0.0001,1.0,DQN + RND + CountBased + TargetNetwork + ReplayBuffer + Adam,0.01,0.05,1.0,"{'ensemble_own': 449, 'ensemble_median_50_first': 50, 'ensemble_median_50': 1}"
train,ensemble_epsilon_medianfirst_median50,Ensemble,20,1253.3801284197586,1255.2838480073826,500,11.353750228881836,7.849939056000039,11.353388671875,4.62109375,0.0,37.0,4439.0,49140.0,150.23,38.0,0.1068458530367352,500,0.006976256836068728,0.0037376766068887854,0.006976256836068728,10500,10437,0.2,0.99,0.0001,1.0,DQN + RND + CountBased + TargetNetwork + ReplayBuffer + Adam,0.01,0.05,1.0,"{'ensemble_own': 466, 'ensemble_median_50_first': 34}"
