method,method_label,phase,episodes,collision_count,out_of_road_count,total_steps,collision_rmst_event_definition,collision_rmst,collisions_per_1000_steps,collision_rate,out_of_road_rate,goal_count,goal_rate,combined_safety_failure_count,combined_safety_failure_rate,combined_safety_failures_per_1000_steps,combined_safety_rmst_event_definition,combined_safety_rmst
rnd,DQN + RND,train,500,302,244,2510,collision,61.13365570552617,120.3187250996016,0.604,0.488,0,0.0,500,1.0,199.20318725099602,collision_or_out_of_road,5.02
rnd,DQN + RND,test,300,290,10,2177,collision,8.273894463499074,133.210840606339,0.9666666666666667,0.03333333333333333,0,0.0,300,1.0,137.80431786862655,collision_or_out_of_road,7.256666666666666
