method,method_label,phase,episodes,policy_safety_stop_count,policy_safety_stop_rate,environment_steps,policy_decision_opportunities,policy_adjusted_safety_failure_count,policy_adjusted_safety_failure_rate,policy_adjusted_safety_failures_per_1000_decisions,policy_adjusted_safety_rmst_event_definition,policy_adjusted_safety_rmst,metric_treatment
Karthikeya27adv20,Karthikeya27adv20,train,500,0,0.0,32421,32421,488,0.976,15.051972486968323,collision_or_out_of_road_or_policy_safety_stop,64.84199999999998,canonical_collision_metrics_unchanged;policy_stop_is_separate_policy_failure
Karthikeya27adv20,Karthikeya27adv20,test,300,0,0.0,71318,71318,253,0.8433333333333334,3.547491516868112,collision_or_out_of_road_or_policy_safety_stop,237.74645833333346,canonical_collision_metrics_unchanged;policy_stop_is_separate_policy_failure
