method,method_label,phase,episodes,collision_survival_estimator,collision_event_count,collision_censored_count,collision_rmst_tau_steps,collision_rmst_steps,maximum_step_horizon,maximum_step_completion_count,maximum_step_completion_rate
Karthikeya27adv8highwayV3,Karthikeya27adv8highwayV3,train,500,Kaplan-Meier,305,195,500,12.993686208701302,500,0,0.0
Karthikeya27adv8highwayV3,Karthikeya27adv8highwayV3,test,300,Kaplan-Meier,299,1,500,5.972954545454543,500,0,0.0
