method,method_label,phase,episodes,collision_count,total_steps,collision_rmst,collisions_per_1000_steps,collision_rate
epsilon,Epsilon Greedy,train,500,110,43757,174.53613553908818,2.513883492926846,0.22
epsilon,Epsilon Greedy,test,300,162,23036,89.81342981928357,7.032470915089426,0.54
