series_id,method,source_kind,source_name,phase,episodes,summed_episode_wall_time_seconds,summed_episode_wall_time_minutes,average_wall_time_seconds_per_episode,median_wall_time_seconds_per_episode,std_wall_time_seconds_per_episode,min_wall_time_seconds_per_episode,p25_wall_time_seconds_per_episode,p75_wall_time_seconds_per_episode,p95_wall_time_seconds_per_episode,max_wall_time_seconds_per_episode,summed_episode_cpu_time_seconds,average_cpu_time_seconds_per_episode,total_environment_steps,average_environment_steps_per_episode,average_wall_time_ms_per_environment_step
epsilon,Epsilon Greedy,baseline,epsilon,train,500,646.4761116621085,10.77460186103514,1.292952223324217,1.1366202996578068,1.0202947349011275,0.2880882169120013,0.5975235155783594,1.6763623255537823,2.937950186710798,12.735761126037689,646.131929949,1.2922638598979999,2255,4.51,286.6856371007133
epsilon,Epsilon Greedy,baseline,epsilon,test,300,490.53018621355295,8.175503103559215,1.6351006207118433,1.4043754618614912,1.1335764636661412,0.558404291048646,1.117253287928179,1.941825154935941,3.6212956410599877,14.018091580364851,490.3928954129997,1.634642984709999,1739,5.796666666666667,282.07601277375096
noisy,NoisyNet DQN,baseline,noisy,train,500,732.0033928970806,12.200056548284676,1.4640067857941612,1.2081522510852665,0.7900479168755236,0.2947896751575172,0.8978314435807988,1.7868849288206547,2.880196106992662,8.839439613744617,731.2491196180008,1.4624982392360015,2488,4.976,294.2135823541321
noisy,NoisyNet DQN,baseline,noisy,test,300,486.5944048408419,8.109906747347365,1.621981349469473,1.4293166731949896,0.8916577386767621,0.5751979947090149,1.13190393417608,1.969017455005087,3.518472495651805,6.83333714492619,486.4407082460036,1.6214690274866788,1697,5.656666666666666,286.73801110244074
rnd,DQN + RND,baseline,rnd,train,500,634.4478753497824,10.574131255829707,1.2688957506995648,1.134287339169532,0.8832075226066542,0.2867104038596153,0.5881813083542511,1.6791712198173627,3.08375550492201,6.166870324872434,631.952396000999,1.263904792001998,2223,4.446,285.40165332873704
rnd,DQN + RND,baseline,rnd,test,300,472.42197890765965,7.8736996484609945,1.574739929692199,1.3698614665772766,0.8994331100380464,0.5416003302671015,1.0873547615483403,1.8819661861052737,3.5587572041898965,6.792973221279681,471.8682254109999,1.572894084703333,1719,5.73,274.82372245937154
Karthikeya27adv8956,Policy (Karthikeya27adv8956),policy,Karthikeya27adv8956,train,500,1477.4000873644836,24.62333478940806,2.9548001747289674,1.9636537618935108,3.1908265701879004,0.2801015949808061,0.8730867328122258,3.8629262880422175,8.928577586845492,34.126653995364904,1475.1365566570014,2.9502731133140028,5246,10.492,281.62411120176967
Karthikeya27adv8956,Policy (Karthikeya27adv8956),policy,Karthikeya27adv8956,test,300,569.4941092766821,9.491568487944702,1.8983136975889405,1.4133589894045144,1.734882883244886,0.5643628151156008,1.118445408064872,2.2021714237052947,3.9207423306768763,14.326795746106654,569.1465249299983,1.8971550830999946,2031,6.77,280.40084159363965
