episode,cumulative_pools_created
159,1
159,2
162,3
165,4
173,5
174,6
175,7
176,8
177,9
178,10
186,11
189,12
190,13
192,14
195,15
197,16
197,17
198,18
199,19
200,20
203,21
206,22
208,23
210,24
210,25
213,26
213,27
213,28
213,29
216,30
220,31
220,32
225,33
225,34
233,35
233,36
233,37
235,38
235,39
235,40
235,41
235,42
236,43
236,44
238,45
238,46
249,47
249,48
249,49
255,50
257,51
257,52
257,53
257,54
257,55
263,56
263,57
263,58
263,59
296,60
296,61
296,62
296,63
300,64
300,65
300,66
300,67
304,68
304,69
304,70
304,71
304,72
304,73
305,74
305,75
305,76
305,77
341,78
341,79
341,80
341,81
348,82
354,83
354,84
354,85
369,86
369,87
369,88
369,89
369,90
371,91
371,92
371,93
371,94
372,95
381,96
386,97
386,98
386,99
386,100
386,101
389,102
389,103
389,104
389,105
389,106
397,107
398,108
398,109
