phase,experiment,method,episode,env_reward,training_reward,steps,termination_reason,ended_before_max_steps,collision,collision_actor_type,collision_actor_id,collision_actor_role_name,collision_intensity,stuck,stuck_step_count,wall_time_seconds,cpu_time_seconds,gpu_time_seconds,gpu_memory_mb,process_memory_mb,ram_used_mb,ram_total_mb,ram_percent,gpu_util_percent,gpu_memory_used_mb_smi,gpu_memory_total_mb_smi,gpu_power_watts,gpu_temperature_c,average_loss,loss_updates,average_rnd_intrinsic,average_count_intrinsic,average_rnd_loss,epsilon,gamma,learning_rate,lr_multiplier,dqn_technology,rnd_beta,count_beta,count_state_bin_size,action_source_counts
train,rnd_count,RND + Count,0,107.55355456288217,182.29861611595993,50,stuck,True,False,none,-1,,0.0,True,50,1.0768499374389648,0.431290079000064,1.06899560546875,2.17333984375,0.0,0.0,0.0,0.0,35.0,5852.0,49140.0,115.1,35.0,0.0,0,148.21488571166992,0.012752373944855655,148.21488571166992,0.2,0.99,5e-05,1.0,Set3: Noisy/RND/Count candidate ensemble,0.01,0.05,1.0,{'rnd_epsilon': 50}
train,rnd_count,RND + Count,1,143.3675107716029,349.0794256507653,256,collision,True,True,traffic.traffic_light,16,,13411.147752684416,False,0,6.165675640106201,3.438774513000226,6.16245263671875,2.52587890625,0.0,0.0,0.0,0.0,41.0,5852.0,49140.0,151.12,37.0,4.644922710188622,243,76.37996822223067,0.039762485274421215,76.37996822223067,0.2,0.99,5e-05,1.0,Set3: Noisy/RND/Count candidate ensemble,0.01,0.05,1.0,{'rnd_epsilon': 256}
train,rnd_count,RND + Count,2,-67.10090272746376,16.9114520782214,341,collision,True,True,static.building,0,,12739.503694356948,False,0,9.407446146011353,5.0992471350000415,9.4049453125,2.52587890625,0.0,0.0,0.0,0.0,38.0,5852.0,49140.0,115.09,35.0,109.92355413184313,341,20.503805480744482,0.0413324871447116,20.503805480744482,0.2,0.99,5e-05,1.0,Set3: Noisy/RND/Count candidate ensemble,0.01,0.05,1.0,{'rnd_epsilon': 341}
train,rnd_count,RND + Count,3,107.55370977609253,131.2444848873673,50,stuck,True,False,none,-1,,0.0,True,50,1.515141248703003,0.7265195069999208,1.512511474609375,2.52587890625,0.0,0.0,0.0,0.0,37.0,5852.0,49140.0,110.35,35.0,124.64044996500016,50,46.10631282806396,0.012752373944855655,46.10631282806396,0.2,0.99,5e-05,1.0,Set3: Noisy/RND/Count candidate ensemble,0.01,0.05,1.0,{'rnd_epsilon': 50}
train,rnd_count,RND + Count,4,-121.99773479478539,-71.9939683281471,239,stuck,True,False,none,-1,,0.0,True,50,6.888926267623901,3.7743323130002864,6.88566552734375,2.52587890625,0.0,0.0,0.0,0.0,28.0,5852.0,49140.0,107.37,35.0,95.06740817115896,239,17.88753689332986,0.030345411261839653,17.88753689332986,0.2,0.99,5e-05,1.0,Set3: Noisy/RND/Count candidate ensemble,0.01,0.05,1.0,{'rnd_epsilon': 239}
train,rnd_count,RND + Count,5,107.55416678038085,110.09844894193141,50,stuck,True,False,none,-1,,0.0,True,50,1.5440549850463867,0.750980330999937,1.54150048828125,2.52587890625,0.0,0.0,0.0,0.0,30.0,5852.0,49140.0,108.83,34.0,68.82840976953507,50,3.81332692861557,0.012752373944855655,3.81332692861557,0.2,0.99,5e-05,1.0,Set3: Noisy/RND/Count candidate ensemble,0.01,0.05,1.0,{'rnd_epsilon': 50}
train,rnd_count,RND + Count,6,107.55326906983356,110.01176491856559,50,stuck,True,False,none,-1,,0.0,True,50,1.4139587879180908,0.7473063609995734,1.411376220703125,2.52587890625,0.0,0.0,0.0,0.0,40.0,5852.0,49140.0,114.6,34.0,148.04781148672103,50,3.6417543029785158,0.012752373944855655,3.6417543029785158,0.2,0.99,5e-05,1.0,Set3: Noisy/RND/Count candidate ensemble,0.01,0.05,1.0,{'rnd_epsilon': 50}
train,rnd_count,RND + Count,7,107.55354463030454,110.13454042300818,50,stuck,True,False,none,-1,,0.0,True,50,1.474236249923706,0.7398789740000211,1.4717366943359376,2.52587890625,0.0,0.0,0.0,0.0,36.0,5852.0,49140.0,113.58,35.0,108.05572942972184,50,3.8867541909217835,0.012752373944855655,3.8867541909217835,0.2,0.99,5e-05,1.0,Set3: Noisy/RND/Count candidate ensemble,0.01,0.05,1.0,{'rnd_epsilon': 50}
train,rnd_count,RND + Count,8,459.9925792322791,501.7674426669499,403,stuck,True,False,none,-1,,0.0,True,50,11.355465650558472,5.74316887499981,11.3529052734375,2.52587890625,0.0,0.0,0.0,0.0,29.0,5852.0,49140.0,104.03,34.0,74.41467418445843,403,6.699321134676857,0.0366664994092382,6.699321134676857,0.2,0.99,5e-05,1.0,Set3: Noisy/RND/Count candidate ensemble,0.01,0.05,1.0,{'rnd_epsilon': 403}
train,rnd_count,RND + Count,9,107.5533287265344,114.00554099162528,50,stuck,True,False,none,-1,,0.0,True,50,1.4548883438110352,0.7323095810002087,1.452216552734375,2.52587890625,0.0,0.0,0.0,0.0,35.0,5852.0,49140.0,113.03,35.0,54.99359887361526,50,11.62918713569641,0.012752373944855655,11.62918713569641,0.2,0.99,5e-05,1.0,Set3: Noisy/RND/Count candidate ensemble,0.01,0.05,1.0,{'rnd_epsilon': 50}
