method,method_label,phase,episodes,collision_survival_estimator,collision_event_count,collision_censored_count,collision_rmst_tau_steps,collision_rmst_steps,maximum_step_horizon,maximum_step_completion_count,maximum_step_completion_rate
Karthikeya27adv8highwayV6,Karthikeya27adv8highwayV6,train,500,Kaplan-Meier,366,134,500,10.196706324646444,500,1,0.002
Karthikeya27adv8highwayV6,Karthikeya27adv8highwayV6,test,300,Kaplan-Meier,299,1,500,5.671739130434782,500,0,0.0
