method,method_label,phase,episodes,policy_safety_stop_count,policy_safety_stop_rate,environment_steps,policy_decision_opportunities,policy_adjusted_safety_failure_count,policy_adjusted_safety_failure_rate,policy_adjusted_safety_failures_per_1000_decisions,policy_adjusted_safety_rmst_event_definition,policy_adjusted_safety_rmst,metric_treatment
Karthikeya27adv8956,Karthikeya27adv8956,train,500,0,0.0,5856,5856,500,1.0,85.38251366120218,collision_or_out_of_road_or_policy_safety_stop,11.711999999999994,canonical_collision_metrics_unchanged;policy_stop_is_separate_policy_failure
Karthikeya27adv8956,Karthikeya27adv8956,test,300,0,0.0,5131,5131,300,1.0,58.468134866497756,collision_or_out_of_road_or_policy_safety_stop,17.103333333333342,canonical_collision_metrics_unchanged;policy_stop_is_separate_policy_failure
