method,method_label,phase,episodes,collision_survival_estimator,collision_event_count,collision_censored_count,collision_rmst_tau_steps,collision_rmst_steps,maximum_step_horizon,maximum_step_completion_count,maximum_step_completion_rate
Karthikeya27adv8highwayV4,Karthikeya27adv8highwayV4,train,100,Kaplan-Meier,47,53,500,30.22593680377532,500,0,0.0
Karthikeya27adv8highwayV4,Karthikeya27adv8highwayV4,test,50,Kaplan-Meier,50,0,500,5.219999999999999,500,0,0.0
