phase,experiment,method,seed,episode,scenario_seed,initial_observation_sha256,env_reward,training_reward,steps,termination_reason,collision,crash_vehicle,crash_object,out_of_road,goal_reached,max_steps_reached,rmst_event_definition,rmst_event_observed,event_or_censor_time_steps,wall_time_seconds,cpu_time_seconds,average_loss,average_rnd_loss,average_rnd_bonus,replay_buffer_size,learn_steps,epsilon,rnd_beta,noisy_sigma_init,network_frozen,updates_during_test,action_source_counts
train,Karthikeya27adv8highwayV4,Karthikeya27adv8highwayV4,76,15,91,78dbd1229c114d910bc2941a7f72501ae19d43c38154e1e32182ea3ab587ed36,-47.6,-47.6,8,out_of_road,False,False,False,True,False,False,collision,False,8,1.2240190820011776,1.2237153810000017,8.79680722951889,0.0,0.0,95,32,0.0,0.0,0.0,False,,"{""threshold_warmup_argmax"": 8}"
train,Karthikeya27adv8highwayV4,Karthikeya27adv8highwayV4,76,16,92,367ff5dcd77ed48e5a49d356f296bcf7fb25b48dda3a5c177660915e4f3f96cd,-47.9,-47.9,7,out_of_road,False,False,False,True,False,False,collision,False,7,1.0892426159989554,1.0890438829999987,8.151386056627546,0.0,0.0,102,39,0.0,0.0,0.0,False,,"{""candidate_created_argmax__candidate_unknown"": 2, ""threshold_warmup_argmax"": 5}"
train,Karthikeya27adv8highwayV4,Karthikeya27adv8highwayV4,76,17,93,561a6064fe3deddb79071c30868c3764e139f3b2b45d5c09524f0fbed76b3566,-46.6,-46.6,9,out_of_road,False,False,False,True,False,False,collision,False,9,1.3844692630009376,1.3842879789999998,7.73842986424764,0.0,0.0,111,48,0.0,0.0,0.0,False,,"{""candidate_created_argmax__candidate_unknown"": 8, ""promoted_pool_first_best_available"": 1}"
train,Karthikeya27adv8highwayV4,Karthikeya27adv8highwayV4,76,18,94,34529dc1634658388fabc2a1ffa83098415468e471e6b4088aa9d30dfbcf252f,-50.0,-50.0,1,out_of_road,False,False,False,True,False,False,collision,False,1,0.16990133299987065,0.16983995399999685,11.006046295166016,0.0,0.0,112,49,0.0,0.0,0.0,False,,"{""candidate_created_argmax__candidate_unknown"": 1}"
train,Karthikeya27adv8highwayV4,Karthikeya27adv8highwayV4,76,19,95,83e3e2f463f3cd8016b56fd94ba48963f15a87dc06db825aca04cfc724591b30,-45.9733900678128,-45.9733900678128,5,out_of_road,False,False,False,True,False,False,collision,False,5,0.7764329530036775,0.7763823310000006,8.378110408782959,0.0,0.0,117,54,0.0,0.0,0.0,False,,"{""candidate_created_argmax__candidate_unknown"": 4, ""promoted_pool_first_best_available"": 1}"
train,Karthikeya27adv8highwayV4,Karthikeya27adv8highwayV4,76,20,96,401e9bab837929e2742a24f3335f9c02f88e52cd300095fa8ac33332ef982fc9,-50.0,-50.0,1,out_of_road,False,False,False,True,False,False,collision,False,1,0.16725064299680525,0.1671917200000017,11.041595458984375,0.0,0.0,118,55,0.0,0.0,0.0,False,,"{""permanent_pool_best_available"": 1}"
train,Karthikeya27adv8highwayV4,Karthikeya27adv8highwayV4,76,21,97,9847a8234c123fe9e105078089433af84f846cd858b53ce5249cc78d9436d05a,-50.0,-50.0,1,out_of_road,False,False,False,True,False,False,collision,False,1,0.1629960310019669,0.16293297500000037,7.891615390777588,0.0,0.0,119,56,0.0,0.0,0.0,False,,"{""candidate_created_argmax__candidate_unknown"": 1}"
train,Karthikeya27adv8highwayV4,Karthikeya27adv8highwayV4,76,22,98,78f3b1b0cf061d63a7c4ab0a6083f98c53e0b993832195d310045e7dddf76417,-49.9,-49.9,2,out_of_road,False,False,False,True,False,False,collision,False,2,0.3244955710033537,0.32444392699999725,9.856436967849731,0.0,0.0,121,58,0.0,0.0,0.0,False,,"{""candidate_created_argmax__candidate_unknown"": 1, ""permanent_pool_best_available"": 1}"
train,Karthikeya27adv8highwayV4,Karthikeya27adv8highwayV4,76,23,99,2e93a341004d25fb433b8322e0d8bf2ed224d7fdeec7f12d9fa01d293c572077,-41.58283837677422,-41.58283837677422,19,out_of_road,False,False,False,True,False,False,collision,False,19,2.9520890260027954,2.9513895430000012,9.095573475486354,0.0,0.0,140,77,0.0,0.0,0.0,False,,"{""candidate_created_argmax__candidate_unknown"": 15, ""permanent_pool_best_available"": 2, ""promoted_pool_first_best_available"": 2}"
train,Karthikeya27adv8highwayV4,Karthikeya27adv8highwayV4,76,24,100,bbb70a5efbccbeb88fb9175c4b6672ec25be6daff1b58e52319ec4613a50d6e7,-49.9,-49.9,3,out_of_road,False,False,False,True,False,False,collision,False,3,0.4656617400032701,0.4655644790000011,9.193220615386963,0.0,0.0,143,80,0.0,0.0,0.0,False,,"{""candidate_created_argmax__candidate_unknown"": 2, ""permanent_pool_best_available"": 1}"
train,Karthikeya27adv8highwayV4,Karthikeya27adv8highwayV4,76,25,101,c9d3ca7a94bf60c768c7f1c7dfc462f75ecd74439c1df48a58dea92d2515e0e7,-46.0,-46.0,5,out_of_road,False,False,False,True,False,False,collision,False,5,0.779434953998134,0.7792924819999989,8.835650825500489,0.0,0.0,148,85,0.0,0.0,0.0,False,,"{""candidate_created_argmax__candidate_unknown"": 4, ""promoted_pool_first_best_available"": 1}"
train,Karthikeya27adv8highwayV4,Karthikeya27adv8highwayV4,76,26,102,7de9f5671bb49bc3933aa172dc796d94be6ae6c9e034037bff262c893be72639,-45.7,-45.7,5,collision,True,True,False,False,False,False,collision,True,5,0.77794397600519,0.7778443560000028,8.38275375366211,0.0,0.0,153,90,0.0,0.0,0.0,False,,"{""candidate_created_argmax__candidate_unknown"": 4, ""promoted_pool_first_best_available"": 1}"
train,Karthikeya27adv8highwayV4,Karthikeya27adv8highwayV4,76,27,103,5f5661674a0cb908ae995f9ae52e0d624347bdcfcbe46df1ec478cc7ff54e3a4,-50.0,-50.0,1,out_of_road,False,False,False,True,False,False,collision,False,1,0.16681499800324673,0.16676761500000126,9.512411117553711,0.0,0.0,154,91,0.0,0.0,0.0,False,,"{""permanent_pool_best_available"": 1}"
train,Karthikeya27adv8highwayV4,Karthikeya27adv8highwayV4,76,28,104,e337bdd75e6d76edd1a2c6893375a73a22c2109f4e45ef15363ab81cd2350b31,-49.95,-49.95,2,out_of_road,False,False,False,True,False,False,collision,False,2,0.31944488400040427,0.31939631400000223,7.534201145172119,0.0,0.0,156,93,0.0,0.0,0.0,False,,"{""candidate_created_argmax__candidate_unknown"": 1, ""permanent_pool_best_available__active_initial_pass_last_action_pending_unknown_pass"": 1}"
train,Karthikeya27adv8highwayV4,Karthikeya27adv8highwayV4,76,29,105,fc0a3d294bcd1b62c67fa7fc5629a6ebb2f3479e8b9306f1981ddaa07f891b4d,-45.5,-45.5,6,collision,True,True,False,False,False,False,collision,True,6,0.9351109140043263,0.9352233950000013,9.472811460494995,0.0,0.0,162,99,0.0,0.0,0.0,False,,"{""candidate_created_argmax__candidate_unknown"": 5, ""permanent_pool_best_available"": 1}"
train,Karthikeya27adv8highwayV4,Karthikeya27adv8highwayV4,76,30,106,c88e20a2d9f1a4a201a196db7dd519619effb4cf3f601f4fd1a65ce06a59d114,-47.9,-47.9,7,out_of_road,False,False,False,True,False,False,collision,False,7,1.094078805996105,1.0938500960000006,9.195092609950475,0.0,0.0,169,106,0.0,0.0,0.0,False,,"{""candidate_created_argmax__candidate_unknown"": 6, ""permanent_pool_best_available"": 1}"
train,Karthikeya27adv8highwayV4,Karthikeya27adv8highwayV4,76,31,107,a54048f86552fa4d8eb9e8dc45895bea90d2c87400c03e45d316c18a21238c39,-50.0,-50.0,1,out_of_road,False,False,False,True,False,False,collision,False,1,0.16379053499986185,0.16372841100000102,9.469087600708008,0.0,0.0,170,107,0.0,0.0,0.0,False,,"{""permanent_pool_best_available"": 1}"
train,Karthikeya27adv8highwayV4,Karthikeya27adv8highwayV4,76,32,108,9626caf65ee35d9884f57aa603ce3a1be809e709344fb4186916a25fb81b3840,-43.5,-43.5,7,collision,True,True,False,False,False,False,collision,True,7,1.0798419720013044,1.0797431459999984,8.853482246398926,0.0,0.0,177,114,0.0,0.0,0.0,False,,"{""candidate_created_argmax__candidate_unknown"": 6, ""permanent_pool_best_available"": 1}"
train,Karthikeya27adv8highwayV4,Karthikeya27adv8highwayV4,76,33,109,7a3c204f740838c4b2b8479a71813ac6109a89654dd761a4645ef07419b4a600,-44.75,-44.75,6,collision,True,True,False,True,False,False,collision,True,6,0.9356704150050064,0.9353868630000015,8.662157773971558,0.0,0.0,183,120,0.0,0.0,0.0,False,,"{""candidate_created_argmax__candidate_unknown"": 6}"
train,Karthikeya27adv8highwayV4,Karthikeya27adv8highwayV4,76,34,110,39a3c22050f371e4f41fe4846397bb0ce2c656f1bfc5c4f32301c5c3fb10923b,-41.6,-41.6,9,collision,True,True,False,True,False,False,collision,True,9,1.4208731999970041,1.4205673109999992,8.311858865949842,0.0,0.0,192,129,0.0,0.0,0.0,False,,"{""candidate_created_argmax__candidate_unknown"": 8, ""permanent_pool_best_available__active_pass_complete__greedy_confirmed_safe"": 1}"
train,Karthikeya27adv8highwayV4,Karthikeya27adv8highwayV4,76,35,111,3e3f28d8f6631015719823eac668ab6d078f0981b150c49f2f75c6ddabda323c,-37.400000000000006,-37.400000000000006,12,collision,True,True,False,False,False,False,collision,True,12,1.859753639997507,1.8593751229999995,8.536084453264872,0.0,0.0,204,141,0.0,0.0,0.0,False,,"{""candidate_created_argmax__candidate_unknown"": 11, ""retired_pool_greedy_confirmed_safe"": 1}"
train,Karthikeya27adv8highwayV4,Karthikeya27adv8highwayV4,76,36,112,73fa3e8c0a6dedb7dda996c4ffc4b8ed912fdd16c23cf80b625b0ce8cad27bde,-49.95,-49.95,2,out_of_road,False,False,False,True,False,False,collision,False,2,0.3191409229984856,0.31911597500000255,8.263232946395874,0.0,0.0,206,143,0.0,0.0,0.0,False,,"{""candidate_created_argmax__candidate_unknown"": 1, ""permanent_pool_best_available"": 1}"
