method,method_label,phase,episodes,collision_survival_estimator,collision_event_count,collision_censored_count,collision_rmst_tau_steps,collision_rmst_steps,maximum_step_horizon,maximum_step_completion_count,maximum_step_completion_rate
Karthikeya27adv8highwayV5,Karthikeya27adv8highwayV5,train,500,Kaplan-Meier,295,205,500,10.553237467906179,500,0,0.0
Karthikeya27adv8highwayV5,Karthikeya27adv8highwayV5,test,300,Kaplan-Meier,292,8,500,5.953231060606059,500,0,0.0
