episode,cumulative_pools_created
63,1
69,2
69,3
75,4
76,5
77,6
78,7
79,8
80,9
82,10
83,11
83,12
85,13
86,14
87,15
87,16
91,17
93,18
94,19
94,20
99,21
104,22
112,23
112,24
115,25
117,26
117,27
123,28
125,29
133,30
134,31
135,32
144,33
152,34
153,35
161,36
161,37
167,38
182,39
186,40
191,41
191,42
192,43
192,44
195,45
196,46
197,47
198,48
198,49
198,50
202,51
207,52
207,53
210,54
215,55
228,56
231,57
231,58
241,59
242,60
242,61
242,62
246,63
246,64
249,65
252,66
255,67
256,68
257,69
258,70
269,71
269,72
269,73
270,74
279,75
283,76
284,77
291,78
295,79
295,80
299,81
299,82
300,83
301,84
301,85
314,86
320,87
322,88
324,89
328,90
328,91
348,92
348,93
349,94
349,95
349,96
349,97
349,98
349,99
350,100
360,101
364,102
367,103
374,104
375,105
377,106
377,107
380,108
380,109
389,110
389,111
394,112
396,113
399,114
399,115
399,116
