phase,experiment,method,block_index,start_episode,end_episode,episodes_in_block,average_env_reward,median_env_reward,min_env_reward,max_env_reward,std_env_reward,q1_env_reward,q3_env_reward,total_wall_time_seconds,total_cpu_time_seconds,total_gpu_time_seconds,average_steps,average_loss,average_rnd_intrinsic,average_count_intrinsic,average_gpu_util_percent,max_gpu_memory_mb,learning_rate,lr_multiplier
train,standard_epsilon,Epsilon,1,0,99,100,397.70783685665907,313.2363425923695,-197.84887714492686,1039.8172252387249,289.71547575948966,191.17006767210137,555.7245726913703,983.904313325882,596.8109083799991,983.4207724647523,336.38,0.7234806426298596,0.18710428637293877,0.03367617890011561,36.41,2.00634765625,5e-05,1.0
train,standard_epsilon,Epsilon,2,100,199,100,603.1226932507308,720.246134368047,-923.9066794690972,1138.0040281525112,439.7098586384653,267.45294477820335,955.3834135353928,1248.6052753925323,724.080012644999,1248.1669865722654,413.58,1.247563578763905,0.028683823316548947,0.034355271959301846,35.58,2.00634765625,5e-05,1.0
train,standard_epsilon,Epsilon,3,200,299,100,666.6894400953189,858.7231179259104,-892.4457653244949,1156.7043491284153,414.6655900322196,298.74163753009225,987.5032564015831,1306.2292449474335,745.4192402010001,1305.8034093017582,418.29,1.5845974510571965,0.0169018375708886,0.034003871930794766,34.78,2.00634765625,5e-05,1.0
train,standard_epsilon,Epsilon,4,300,399,100,641.4057898918984,890.8300225920067,-880.271081740497,1219.1736825507899,452.88763823596554,193.6575855082442,1013.8719413670502,1213.8095695972443,726.4455401450014,1213.420189907074,400.61,1.723672876939305,0.013640108665803685,0.032805474194461504,36.31,2.00634765625,5e-05,1.0
train,standard_epsilon,Epsilon,5,400,499,100,625.0576911487049,809.3250497030222,-1569.5073859071067,1164.4167153186822,495.3308984849017,325.0884061454617,1005.5612965177387,1267.4787681102753,729.6110557860025,1267.1004414978029,404.5,1.6205982693002576,0.01295004069777511,0.03312311572782522,34.62,2.00634765625,5e-05,1.0
train,median_50_first,Median First,1,0,99,100,294.48204157883214,234.643003370164,-646.1125578313422,1050.5472257691506,287.4051418441189,107.55362530439328,399.970110255847,763.3539352416992,443.8795985370016,762.8450761718755,237.57,0.8967050703235919,0.18783568224117872,0.02660399194603856,33.33,2.8779296875,5e-05,1.0
train,median_50_first,Median First,2,100,199,100,506.99334188296217,509.40391072060925,-861.4510954524127,1111.3923539125935,397.33034735882984,263.7966443330021,873.6519998363201,1160.3401601314545,689.622960736011,1159.9644894218445,371.53,1.0906679300595434,0.029424927269609606,0.03451120436904893,34.87,2.8779296875,5e-05,1.0
train,median_50_first,Median First,3,200,299,100,697.3809964064146,900.4546066649991,-1578.610029742248,1138.8693270962494,495.8861666527346,394.56801393179694,1034.9907045667255,1409.2316298484802,835.5617795229928,1408.8383797607428,448.51,1.3077602305427405,0.01664002044602235,0.03622221611338508,35.5,2.8779296875,5e-05,1.0
train,median_50_first,Median First,4,300,399,100,767.0992756440544,912.324898925573,-1433.707700747414,1174.7789762314314,430.64413070383233,603.1134535706009,1093.7917607973936,1336.1721222400665,811.1960857529975,1335.7567773437497,440.33,1.310227754901012,0.01170315908635495,0.03321906783771023,35.83,2.8779296875,5e-05,1.0
train,median_50_first,Median First,5,400,499,100,806.3981309351757,964.743004732537,-1513.0333709464385,1199.4739560816536,465.93908249709244,745.3042629630083,1093.1406040991305,1362.6475772857666,842.5580602610016,1362.2939750976566,459.82,1.289890239742974,0.009399509972192776,0.03409350987467942,36.64,2.8779296875,5e-05,1.0
train,median_50,Median 50,1,0,99,100,367.3481050680342,265.0874208584575,-978.2227252145374,1099.7109533810751,380.839017193462,107.55379747412468,672.495846068303,965.1047751903534,573.3210902180035,964.7251510391237,309.2,0.6795817747879619,0.11979524789625204,0.031502774545894334,34.84,3.74951171875,5e-05,1.0
train,median_50,Median 50,2,100,199,100,495.3526985125755,393.42550444438103,-801.5195212368035,1150.643609077238,401.861648607902,107.55376668720731,893.4981037352281,972.4034190177917,591.074055406003,971.9820560302735,329.18,1.0707574636679627,0.023549688488225043,0.02886301129517811,36.27,3.74951171875,5e-05,1.0
train,median_50,Median 50,3,200,299,100,683.1744534490446,887.3806968563102,-580.171472153093,1113.2684618952937,387.55812128733663,322.54286588583204,988.2064944283597,1186.4436872005463,723.1482041460004,1186.0420214843748,397.59,1.4086437817819175,0.014851270631123941,0.030479409829595686,36.79,3.74951171875,5e-05,1.0
train,median_50,Median 50,4,300,399,100,671.777850175426,853.4178407508366,-545.209807095471,1159.8915613415402,393.944746647553,343.78288231341065,996.2523512171857,1207.8749523162842,738.7266008250008,1207.4645495605469,417.62,1.5129947696047825,0.012911431676603293,0.03197238880845818,37.09,3.74951171875,5e-05,1.0
train,median_50,Median 50,5,400,499,100,612.1359207502065,761.9000406810821,-540.5696846800595,1164.752994196354,402.93366983831646,235.15171323260333,953.9287049392314,1171.1714851856232,678.6583023539915,1170.7782725830082,398.8,1.5750795256635695,0.012175831539064043,0.03158847928329163,35.41,3.74951171875,5e-05,1.0
train,ensemble_epsilon_medianfirst_median50,Ensemble,1,0,99,100,820.4038367034447,1155.0214672659376,-892.4471765834129,1286.2772014677048,552.850318964655,107.55342138572917,1216.622945224011,1154.3942804336548,726.7599127899939,1153.9762851562496,370.55,0.3407862993646295,0.09895071520030062,0.030165785357733024,36.86,4.62109375,5e-05,1.0
train,ensemble_epsilon_medianfirst_median50,Ensemble,2,100,199,100,625.5199335173629,621.5178237334429,-146.7316836711229,1277.7616276873498,513.1567385588925,107.55332307115316,1196.9814182078987,920.209321975708,583.9548423660017,919.816904296875,299.2,0.8616612044404257,0.019420204812381436,0.025091517739208483,37.58,4.62109375,5e-05,1.0
train,ensemble_epsilon_medianfirst_median50,Ensemble,3,200,299,100,570.8789736370218,107.55355373669619,-892.4468139611691,1285.5361355203515,570.8649491435592,107.55323063667919,1217.6513473945856,743.714551448822,471.99386210199555,743.2952308349611,244.59,1.3489591717351803,0.01428645126814292,0.02009748076646732,37.47,4.62109375,5e-05,1.0
train,ensemble_epsilon_medianfirst_median50,Ensemble,4,300,399,100,666.4212169164884,1053.9158201413536,-1238.5475854938375,1282.797595180611,590.9524041711635,107.55338513743929,1230.0549198196238,945.1672732830048,601.8650982119907,944.7607663574217,304.0,1.596670391120016,0.01248255516101934,0.02363551766813393,37.11,4.62109375,5e-05,1.0
train,ensemble_epsilon_medianfirst_median50,Ensemble,5,400,499,100,515.4901738698603,107.55355517499783,-910.3508301918429,1285.5183490899087,540.8643186289179,107.55317955231192,1171.463343975871,752.4227969646454,475.1337185289958,752.0028753662116,239.21,1.837246537073617,0.01087026387694093,0.018528197003366918,36.78,4.62109375,5e-05,1.0
test,standard_epsilon,Epsilon,1,0,99,100,361.8506588443096,107.55362893075542,-1216.4931333423938,1080.1229728916933,403.43147693365177,107.55343285467568,833.3927240090485,475.05080461502075,153.17568872099218,474.6546838989257,215.01,0.0,0.0,0.0,35.85,4.48779296875,5e-05,1.0
test,standard_epsilon,Epsilon,2,100,199,100,433.0074176885648,360.79187366076144,-1192.4177851341033,1062.6993507052694,436.9260727534171,107.55351050930511,905.0508860131861,676.6510004997253,218.15255996299857,676.2668296508789,288.01,0.0,0.0,0.0,34.69,4.48779296875,5e-05,1.0
test,standard_epsilon,Epsilon,3,200,299,100,281.8037529063369,107.55355988536546,-1390.323871404366,1061.336520810575,438.13221800360816,107.55339905761946,579.3876261524033,436.1190288066864,135.97672861201136,435.7544007568359,191.8,0.0,0.0,0.0,36.62,4.48779296875,5e-05,1.0
test,median_50_first,Median First,1,0,99,100,585.750158323631,816.6880896490394,-1224.8004660215238,1221.1296595847343,520.9470149989311,107.55346184974914,975.1684239109437,760.382869720459,237.64892529599456,759.9757081298828,347.11,0.0,0.0,0.0,36.49,4.48779296875,5e-05,1.0
test,median_50_first,Median First,2,100,199,100,680.3329902754843,892.5063922950087,-892.4465054867253,1162.8087756370965,448.2415641680762,362.64877001082397,1025.5884176293998,884.1061451435089,280.56783261098826,883.7227885742188,384.77,0.0,0.0,0.0,34.41,4.48779296875,5e-05,1.0
test,median_50_first,Median First,3,200,299,100,861.8094747108433,967.4550182619957,-567.4172025587728,1236.5464793073006,329.5953128916051,802.7746815990438,1059.0066610934966,1150.2240788936615,367.8278806000053,1149.7994032592776,463.83,0.0,0.0,0.0,32.79,4.48779296875,5e-05,1.0
test,median_50,Median 50,1,0,99,100,836.0634116420122,929.8494524779815,-892.4466046657249,1142.9253517136979,320.4511771516318,824.0053988181909,1028.5791423883675,1049.8875796794891,342.6975718130416,1049.4439991226195,461.45,0.0,0.0,0.0,34.91,4.48779296875,5e-05,1.0
test,median_50,Median 50,2,100,199,100,790.4465039525899,875.0660288387298,-892.4465767589303,1170.8471123821917,367.45764080077845,759.7282088706638,1017.956607983681,1070.798764705658,352.1591556320127,1070.3590675048827,466.9,0.0,0.0,0.0,34.41,4.48779296875,5e-05,1.0
test,median_50,Median 50,3,200,299,100,835.0479219981383,913.7321660250584,-1855.9413173923642,1150.4532746457344,374.9808717257457,815.7129910293565,1031.4259446113467,1070.836387872696,358.09596447000877,1070.4112149658213,480.51,0.0,0.0,0.0,35.81,4.48779296875,5e-05,1.0
