phase,experiment,method,episode,env_reward,training_reward,steps,termination_reason,ended_before_max_steps,collision,collision_actor_type,collision_actor_id,collision_actor_role_name,collision_intensity,stuck,stuck_step_count,wall_time_seconds,cpu_time_seconds,gpu_time_seconds,gpu_memory_mb,process_memory_mb,ram_used_mb,ram_total_mb,ram_percent,gpu_util_percent,gpu_memory_used_mb_smi,gpu_memory_total_mb_smi,gpu_power_watts,gpu_temperature_c,average_loss,loss_updates,average_rnd_intrinsic,average_count_intrinsic,average_rnd_loss,replay_buffer_size,learn_steps,epsilon,gamma,learning_rate,lr_multiplier,dqn_technology,rnd_beta,count_beta,count_state_bin_size,action_source_counts
train,standard_epsilon,Epsilon,11,107.55349130052893,108.19647681004136,50,stuck,True,False,none,-1,,0.0,True,50,1.3410186767578125,0.6112882900000045,1.3382137451171876,2.00634765625,0.0,0.0,0.0,0.0,35.0,5835.0,49140.0,114.86,35.0,0.5580379718542099,50,0.010733624539279845,0.012752373944855655,0.010733624539279845,3230,3167,0.2,0.99,5e-05,1.0,DQN + RND + CountBased + TargetNetwork + ReplayBuffer + Adam,0.01,0.05,1.0,"{'epsilon_random': 9, 'greedy': 41}"
train,standard_epsilon,Epsilon,12,225.53829875371736,236.05720197006772,259,collision,True,True,static.vegetation,0,,19499.37065494266,False,0,7.518901109695435,4.143082802999999,7.5130302734375,2.00634765625,0.0,0.0,0.0,0.0,31.0,5835.0,49140.0,110.34,35.0,0.5162950798610233,259,0.10736018466438674,0.03953992408521057,0.10736018466438674,3489,3426,0.2,0.99,5e-05,1.0,DQN + RND + CountBased + TargetNetwork + ReplayBuffer + Adam,0.01,0.05,1.0,"{'greedy': 219, 'epsilon_random': 40}"
train,standard_epsilon,Epsilon,13,107.55393969132804,108.41549495325317,50,stuck,True,False,none,-1,,0.0,True,50,1.4687442779541016,0.7620203609999976,1.462828369140625,2.00634765625,0.0,0.0,0.0,0.0,34.0,5835.0,49140.0,113.26,35.0,0.4275685032084584,50,0.1709806569851935,0.015521298668651016,0.1709806569851935,3539,3476,0.2,0.99,5e-05,1.0,DQN + RND + CountBased + TargetNetwork + ReplayBuffer + Adam,0.01,0.05,1.0,"{'greedy': 39, 'epsilon_random': 11}"
train,standard_epsilon,Epsilon,14,95.44098463949416,106.11893392361671,268,collision,True,True,vehicle.tesla.model3,9855,autopilot,3439.873649530743,False,0,7.778289794921875,4.427026132999998,7.7759482421875,2.00634765625,0.0,0.0,0.0,0.0,41.0,5835.0,49140.0,156.6,38.0,0.5147821297382574,268,0.07860689520173005,0.03905702539172249,0.07860689520173005,3807,3744,0.2,0.99,5e-05,1.0,DQN + RND + CountBased + TargetNetwork + ReplayBuffer + Adam,0.01,0.05,1.0,"{'greedy': 229, 'epsilon_random': 39}"
train,standard_epsilon,Epsilon,15,349.30315978973107,360.19836996518535,304,collision,True,True,static.static,0,,9247.323145732795,False,0,8.879738330841064,4.935225752000008,8.8774326171875,2.00634765625,0.0,0.0,0.0,0.0,33.0,5835.0,49140.0,111.22,35.0,0.5880188221896165,304,0.07857697532122793,0.035053737402889217,0.07857697532122793,4111,4048,0.2,0.99,5e-05,1.0,DQN + RND + CountBased + TargetNetwork + ReplayBuffer + Adam,0.01,0.05,1.0,"{'greedy': 243, 'epsilon_random': 61}"
train,standard_epsilon,Epsilon,16,342.55284116965834,362.4880354589857,486,collision,True,True,static.building,0,,12677.755504617586,False,0,13.972970962524414,8.47931887899999,13.96502734375,2.00634765625,0.0,0.0,0.0,0.0,33.0,5835.0,49140.0,124.53,36.0,0.5575771691285288,486,0.048170019954109064,0.04053721809125509,0.048170019954109064,4597,4534,0.2,0.99,5e-05,1.0,DQN + RND + CountBased + TargetNetwork + ReplayBuffer + Adam,0.01,0.05,1.0,"{'greedy': 396, 'epsilon_random': 90}"
train,standard_epsilon,Epsilon,17,819.7611455974408,837.5467579046928,464,collision,True,True,static.static,0,,52.647917723422594,False,0,14.482467412948608,8.753115800000003,14.4793798828125,2.00634765625,0.0,0.0,0.0,0.0,32.0,5835.0,49140.0,112.82,35.0,0.6399582952184699,464,0.03202389524802066,0.038010822054530845,0.03202389524802066,5061,4998,0.2,0.99,5e-05,1.0,DQN + RND + CountBased + TargetNetwork + ReplayBuffer + Adam,0.01,0.05,1.0,"{'greedy': 374, 'epsilon_random': 90}"
train,standard_epsilon,Epsilon,18,491.3304143850552,504.41284352669334,374,stuck,True,False,none,-1,,0.0,True,50,10.42611575126648,5.740120926000003,10.418486328125,2.00634765625,0.0,0.0,0.0,0.0,39.0,5835.0,49140.0,143.34,37.0,0.6792942942593266,374,0.07257203711999276,0.03425403669200289,0.07257203711999276,5435,5372,0.2,0.99,5e-05,1.0,DQN + RND + CountBased + TargetNetwork + ReplayBuffer + Adam,0.01,0.05,1.0,"{'greedy': 303, 'epsilon_random': 71}"
train,standard_epsilon,Epsilon,19,324.88732884116615,342.6906971597175,454,collision,True,True,static.building,0,,2385.4345703126523,False,0,13.68622899055481,7.136600131999998,13.683681640625,2.00634765625,0.0,0.0,0.0,0.0,34.0,5835.0,49140.0,111.61,35.0,0.40029637788377276,454,0.11510467770876297,0.03806342088492198,0.11510467770876297,5889,5826,0.2,0.99,5e-05,1.0,DQN + RND + CountBased + TargetNetwork + ReplayBuffer + Adam,0.01,0.05,1.0,"{'greedy': 369, 'epsilon_random': 85}"
train,standard_epsilon,Epsilon,20,959.5464672036514,976.5148102135015,500,max_steps,False,False,none,-1,,0.0,False,0,16.063105821609497,9.551352253000005,16.0606025390625,2.00634765625,0.0,0.0,0.0,0.0,37.0,5835.0,49140.0,141.6,37.0,0.590800769917667,500,0.04080491850298131,0.0335286368346687,0.04080491850298131,6389,6326,0.2,0.99,5e-05,1.0,DQN + RND + CountBased + TargetNetwork + ReplayBuffer + Adam,0.01,0.05,1.0,"{'epsilon_random': 107, 'greedy': 393}"
train,standard_epsilon,Epsilon,21,209.34076191222118,224.2665047654029,374,collision,True,True,static.pole,0,,14712.506390339327,False,0,10.750061273574829,6.117644216999992,10.747408203125,2.00634765625,0.0,0.0,0.0,0.0,39.0,5835.0,49140.0,127.03,36.0,0.576149462189346,374,0.050717887641235755,0.03940122447434114,0.050717887641235755,6763,6700,0.2,0.99,5e-05,1.0,DQN + RND + CountBased + TargetNetwork + ReplayBuffer + Adam,0.01,0.05,1.0,"{'greedy': 297, 'epsilon_random': 77}"
train,standard_epsilon,Epsilon,22,-2.9961037463477567,9.987902854375875,287,collision,True,True,vehicle.ford.mustang,10203,autopilot,13948.004470205911,False,0,8.58139181137085,5.152487694000001,8.5788017578125,2.00634765625,0.0,0.0,0.0,0.0,34.0,5835.0,49140.0,111.18,35.0,0.6019258384660977,287,0.3603082164764674,0.041637358952738984,0.3603082164764674,7050,6987,0.2,0.99,5e-05,1.0,DQN + RND + CountBased + TargetNetwork + ReplayBuffer + Adam,0.01,0.05,1.0,"{'greedy': 237, 'epsilon_random': 50}"
train,standard_epsilon,Epsilon,23,297.26984682296694,312.8169627063636,366,collision,True,True,static.building,0,,7049.02490234375,False,0,11.146446704864502,7.221576039000013,11.1437236328125,2.00634765625,0.0,0.0,0.0,0.0,33.0,5835.0,49140.0,141.51,37.0,0.6425461959745226,366,0.14181286783518698,0.04106033001945391,0.14181286783518698,7416,7353,0.2,0.99,5e-05,1.0,DQN + RND + CountBased + TargetNetwork + ReplayBuffer + Adam,0.01,0.05,1.0,"{'greedy': 306, 'epsilon_random': 60}"
train,standard_epsilon,Epsilon,24,906.7690074591441,925.9055701950142,500,max_steps,False,False,none,-1,,0.0,False,0,15.381037473678589,9.63408905099999,15.3783935546875,2.00634765625,0.0,0.0,0.0,0.0,38.0,5835.0,49140.0,158.1,39.0,0.5094068117886782,500,0.02821209933486534,0.03799100447838954,0.02821209933486534,7916,7853,0.2,0.99,5e-05,1.0,DQN + RND + CountBased + TargetNetwork + ReplayBuffer + Adam,0.01,0.05,1.0,"{'epsilon_random': 104, 'greedy': 396}"
train,standard_epsilon,Epsilon,25,881.2509139647457,899.2154132077738,500,max_steps,False,False,none,-1,,0.0,False,0,15.061195850372314,10.499044922999985,15.0582314453125,2.00634765625,0.0,0.0,0.0,0.0,43.0,5835.0,49140.0,166.85,40.0,0.5395592017062009,500,0.03920108436021837,0.035536987642453395,0.03920108436021837,8416,8353,0.2,0.99,5e-05,1.0,DQN + RND + CountBased + TargetNetwork + ReplayBuffer + Adam,0.01,0.05,1.0,"{'greedy': 413, 'epsilon_random': 87}"
