experiment,method,lr_multiplier,learning_rate,final_learning_rate,average_train_reward,median_train_reward,std_train_reward,min_train_reward,max_train_reward,q1_train_reward,q3_train_reward,average_test_reward,median_test_reward,mode_test_reward,min_test_reward,max_test_reward,range_test_reward,std_test_reward,q1_test_reward,q3_test_reward,convergence_episode,convergence_time_seconds,convergence_cpu_time_seconds,convergence_gpu_time_seconds,total_training_wall_time_seconds,total_training_cpu_time_seconds,total_training_gpu_time_seconds,total_training_episodes,dqn_technology,rnd_beta,count_beta,count_state_bin_size,network_frozen_during_testing
standard_epsilon,Epsilon,1.0,5e-05,5e-05,586.7966902486623,656.2718227648587,435.09477642897315,-1569.5073859071067,1219.1736825507899,229.69836771030992,959.6328099635487,358.88727647973707,107.5536457471131,107.553427,-1390.323871404366,1080.1229728916933,2470.446844296059,430.9159379197213,107.55343648921499,816.1943386741515,10,120.40054342746735,70.44733514314004,120.35823599487303,6020.027171373367,3522.3667571570018,6017.9117997436515,500,DQN + RND + CountBased + TargetNetwork + ReplayBuffer + Adam,0.01,0.05,1.0,True
median_50_first,Median First,1.0,5e-05,5e-05,614.4707572894879,743.822006368668,462.5753276604474,-1578.610029742248,1199.4739560816536,275.456229526117,1003.6801024281895,709.2975411033195,907.1572840829626,1236.546479,-1224.8004660215238,1236.5464793073006,2461.3469453288244,454.7168179036743,435.39265628668363,1022.4362707622399,169,2038.729953564644,1224.5126478657817,2038.0381598550046,6031.745424747467,3622.8184848100045,6029.698697795871,500,DQN + RND + CountBased + TargetNetwork + ReplayBuffer + Adam,0.01,0.05,1.0,True
median_50,Median 50,1.0,5e-05,5e-05,565.9578055910573,586.9725790758703,411.28612466093546,-978.2227252145374,1164.752994196354,131.48518352389368,946.9431070049355,820.5192791975802,900.6654508549057,1170.847112,-1855.9413173923642,1170.8471123821917,3026.788429774556,355.75356742505176,806.9418582133961,1028.0286204082295,183,2014.097384721279,1209.6037405793336,2013.3630905552222,5502.998318910599,3304.928252948999,5500.9920506973285,500,DQN + RND + CountBased + TargetNetwork + ReplayBuffer + Adam,0.01,0.05,1.0,True
ensemble_epsilon_medianfirst_median50,Ensemble,1.0,5e-05,5e-05,639.7428269288356,671.5307802860332,563.9773822689168,-1238.5475854938375,1286.2772014677048,107.55327966702635,1208.4746355266911,606.130560480712,212.96361623633044,107.552983,-892.4472176552074,1282.6582280234104,2175.105445678618,583.6616707586278,107.55290605566981,1236.8588134921424,10,90.3181644821167,57.194148679979556,90.27704124023442,4515.908224105835,2859.7074339989776,4513.8520620117215,500,DQN + RND + CountBased + TargetNetwork + ReplayBuffer + Adam,0.01,0.05,1.0,True
