series_id,method,source_kind,source_name,phase,rmst_tau,episodes,collision_count,total_steps,collision_rmst,collisions_per_1000_steps,collision_rate,collision_rmst_ci_low,collision_rmst_ci_high,collisions_per_1000_steps_ci_low,collisions_per_1000_steps_ci_high,collision_rate_ci_low,collision_rate_ci_high
epsilon,Epsilon Greedy,baseline,epsilon,train,500,500,257,2537,7.849327048152439,101.30074891604256,0.514,7.3281222375474995,73.85329336845727,91.64276273846082,111.25003275595502,0.47,0.558
epsilon,Epsilon Greedy,baseline,epsilon,test,500,300,300,1697,5.656666666666666,176.78255745433117,1.0,5.313333333333334,6.016666666666666,166.2049861495845,188.20577164366375,1.0,1.0
noisy,NoisyNet DQN,baseline,noisy,train,500,500,399,2720,6.355252829652685,146.69117647058823,0.798,5.9897128442025425,6.760917954132197,137.89406756995515,155.5648993444988,0.762,0.832
noisy,NoisyNet DQN,baseline,noisy,test,500,300,300,1718,5.7266666666666675,174.62165308498254,1.0,5.370000000000001,6.106666666666666,163.75545851528383,186.21973929236498,1.0,1.0
rnd,DQN + RND,baseline,rnd,train,500,500,277,2510,42.787501372139815,110.35856573705179,0.554,7.314585694840652,79.42467348620829,100.58192764549547,120.64863651666478,0.51,0.598
rnd,DQN + RND,baseline,rnd,test,500,300,298,3585,12.415396825396828,83.12412831241284,0.9933333333333333,9.064756468531469,16.319,63.628014620121846,112.61889504768617,0.9833333333333333,1.0
Karthikeya27adv23,Policy (Karthikeya27adv23),policy,Karthikeya27adv23,train,500,500,432,2978,6.747491058882519,145.06380120886502,0.864,6.283206557670394,24.504285994044714,135.4602474322891,154.8031828454764,0.832,0.894
Karthikeya27adv23,Policy (Karthikeya27adv23),policy,Karthikeya27adv23,test,500,300,300,1697,5.656666666666666,176.78255745433117,1.0,5.313333333333333,6.03,165.8374792703151,188.20577164366375,1.0,1.0
