series_id,method,source_kind,source_name,phase,episodes,summed_episode_wall_time_seconds,summed_episode_wall_time_minutes,average_wall_time_seconds_per_episode,median_wall_time_seconds_per_episode,std_wall_time_seconds_per_episode,min_wall_time_seconds_per_episode,p25_wall_time_seconds_per_episode,p75_wall_time_seconds_per_episode,p95_wall_time_seconds_per_episode,max_wall_time_seconds_per_episode,summed_episode_cpu_time_seconds,average_cpu_time_seconds_per_episode,total_environment_steps,average_environment_steps_per_episode,average_wall_time_ms_per_environment_step
epsilon,Epsilon Greedy,baseline,epsilon,train,500,396.98185225215275,6.6163642042025455,0.7939637045043055,0.7957140455109766,0.2928784416797745,0.1852274840057362,0.5932581945162383,0.9786146734986686,1.2955196265946136,2.2169672599993646,392.75201884399996,0.7855040376879999,43611,87.222,9.102791778499753
epsilon,Epsilon Greedy,baseline,epsilon,test,300,149.27000558681902,2.4878334264469837,0.49756668528939674,0.4789103759976569,0.12753162204357002,0.2551807719864882,0.40313723025610665,0.5805362137543852,0.7356962162506535,0.939258117985446,149.39588145199968,0.49798627150666563,23211,77.37,6.43100278259528
noisy,NoisyNet DQN,baseline,noisy,train,500,511.2837298606464,8.52139549767744,1.0225674597212928,0.7563373390003107,0.9135022048063766,0.1748357489996124,0.5306432912548189,1.0399322005032445,3.1960257546990745,5.192741698003374,505.75540125900034,1.0115108025180006,52113,104.226,9.811059233984734
noisy,NoisyNet DQN,baseline,noisy,test,300,149.7090208909649,2.495150348182748,0.49903006963654967,0.48502173149609007,0.12929169271668725,0.2482719679828733,0.40134739749919385,0.5813781362521695,0.717630740684399,0.900845545984339,149.83510967300322,0.4994503655766774,23239,77.46333333333334,6.442145569558281
rnd,DQN + RND,baseline,rnd,train,500,476.40698472355143,7.940116412059191,0.9528139694471028,0.9497391449986026,0.38495325253137685,0.1971282660088036,0.6476501185024972,1.1813124945183517,1.5000774509870078,3.9914724430127535,468.18785218899893,0.9363757043779979,42947,85.894,11.092904853040991
rnd,DQN + RND,baseline,rnd,test,300,154.34132601504098,2.572355433584016,0.5144710867168033,0.48936093949305354,0.13323180880129934,0.2615263570041861,0.4153321300036623,0.6043136985026649,0.762544348454685,0.9095290550030768,154.44947703999992,0.514831590133333,23247,77.49,6.63919327289719
Karthikeya27adv8,Policy (Karthikeya27adv8),policy,Karthikeya27adv8,train,500,514.5360200698778,8.575600334497965,1.0290720401397557,0.9937804529909045,0.4695341368489625,0.2559159850061405,0.6837373522430426,1.2931045917503072,1.7473843226529422,5.599337061023107,4596.353735179999,9.192707470359997,37993,75.986,13.542916328530989
Karthikeya27adv8,Karthikeya27adv8 Pure DQN,policy,Karthikeya27adv8,test,300,141.6251686370524,2.3604194772842066,0.4720838954568414,0.43850835850753356,0.17789266621537833,0.2045772720011882,0.353825283003971,0.559358043508837,0.7442595844011521,1.7014471070142465,141.74377938600173,0.4724792646200058,21923,73.07666666666667,6.460118078595649
Karthikeya27adv20,Policy (Karthikeya27adv20),policy,Karthikeya27adv20,train,500,498.4411467879472,8.307352446465787,0.9968822935758944,0.9680872634999106,0.3965901066370209,0.2378280619959696,0.7318683522462379,1.1773036047507048,1.5896604093006304,4.453321903005417,4399.299266522006,8.798598533044013,37928,75.856,13.141772484390087
Karthikeya27adv20,Karthikeya27adv20 Pure DQN,policy,Karthikeya27adv20,test,300,146.24434256699897,2.437405709449983,0.4874811418899965,0.477065033501276,0.1250209274866795,0.2614674139986164,0.39940073800244136,0.5690609124976618,0.714244151350431,1.1166198439968866,146.3701358980079,0.48790045299335966,23058,76.86,6.342455658209687
Karthikeya27adv23,Policy (Karthikeya27adv23),policy,Karthikeya27adv23,train,500,558.3635829600535,9.306059716000892,1.116727165920107,1.0176478415014572,0.6976124799578393,0.200615175999701,0.787416067749291,1.2129224297477779,1.9365057231016174,6.162869480998779,5049.313239017001,10.098626478034003,43552,87.104,12.820618638869707
Karthikeya27adv23,Karthikeya27adv23 Pure DQN,policy,Karthikeya27adv23,test,300,157.8093858520624,2.630156430867707,0.5260312861735413,0.4897467820010206,0.21508488027318495,0.2608135259979462,0.41030057899934036,0.5866502850012694,0.7820609097003399,1.9198929399972255,157.9490793440018,0.5264969311466726,26465,88.21666666666667,5.962946754281595
