method,method_label,phase,episodes,collision_survival_estimator,collision_event_count,collision_censored_count,collision_rmst_tau_steps,collision_rmst_steps,maximum_step_horizon,maximum_step_completion_count,maximum_step_completion_rate
Karthikeya27adv8highwayV4,Karthikeya27adv8highwayV4,train,500,Kaplan-Meier,374,126,500,7.393410803444797,500,0,0.0
Karthikeya27adv8highwayV4,Karthikeya27adv8highwayV4,test,300,Kaplan-Meier,296,4,500,5.777343691259399,500,0,0.0
