phase,experiment,method,seed,episode,scenario_seed,initial_observation_sha256,env_reward,training_reward,steps,termination_reason,policy_safety_stop,collision,crash_vehicle,crash_object,out_of_road,goal_reached,max_steps_reached,step_cost,rmst_event_definition,rmst_event_observed,event_or_censor_time_steps,wall_time_seconds,cpu_time_seconds,average_loss,average_rnd_loss,average_rnd_bonus,replay_buffer_size,learn_steps,gamma,learning_rate,epsilon,rnd_beta,noisy_sigma_init,network_frozen,updates_during_test,action_source_counts,mean_lane_boundary_clearance,minimum_lane_boundary_clearance,mean_nearest_collision_hazard_center_distance,minimum_nearest_collision_hazard_center_distance,mean_absolute_lane_offset,maximum_absolute_lane_offset,mean_absolute_heading_error,maximum_absolute_heading_error,mean_ego_speed,maximum_ego_speed
train,Karthikeya27adv8highwayV3,Karthikeya27adv8highwayV3,17,79,96,401e9bab837929e2742a24f3335f9c02f88e52cd300095fa8ac33332ef982fc9,-47.7,-47.7,3,collision,False,True,True,False,False,False,False,0.0,collision,True,3,0.47730605200194987,0.4775488710000033,16.4775177637736,0.0,0.0,244,181,0.99,5e-05,0.0,0.0,0.0,False,,"{""candidate_created_argmax__candidate_unknown"": 2, ""retired_pool_greedy_confirmed_safe"": 1}",2.0,2.0,16.751663208007812,8.407623291015625,0.0,0.0,0.0,0.0,102.0,108.0
train,Karthikeya27adv8highwayV3,Karthikeya27adv8highwayV3,17,80,97,9847a8234c123fe9e105078089433af84f846cd858b53ce5249cc78d9436d05a,-39.5,-39.5,22,collision,False,True,True,False,False,False,False,0.0,collision,True,22,3.444648659999075,3.4457864560000004,14.859669425270774,0.0,0.0,266,203,0.99,5e-05,0.0,0.0,0.0,False,,"{""candidate_created_argmax__candidate_unknown"": 21, ""retired_pool_greedy_confirmed_safe"": 1}",2.0,2.0,12.206837459044023,4.695381164550781,0.0,0.0,0.0,0.0,90.0,90.0
train,Karthikeya27adv8highwayV3,Karthikeya27adv8highwayV3,17,81,98,78f3b1b0cf061d63a7c4ab0a6083f98c53e0b993832195d310045e7dddf76417,-44.7,-44.7,6,collision,False,True,True,False,False,False,False,0.0,collision,True,6,0.9628734870057087,0.9631539669999967,14.80199400583903,0.0,0.0,272,209,0.99,5e-05,0.0,0.0,0.0,False,,"{""candidate_created_argmax__candidate_unknown"": 4, ""permanent_pool_best_available"": 1, ""promoted_pool_first_best_available"": 1}",2.0,2.0,12.065510670344034,5.730868339538574,0.0,0.0,0.0,0.0,117.0,126.0
train,Karthikeya27adv8highwayV3,Karthikeya27adv8highwayV3,17,82,99,2e93a341004d25fb433b8322e0d8bf2ed224d7fdeec7f12d9fa01d293c572077,-48.800000000000004,-48.800000000000004,3,out_of_road,False,False,False,False,True,False,False,0.0,collision,False,3,0.4970517359979567,0.49712566400000213,15.453031539916992,0.0,0.0,275,212,0.99,5e-05,0.0,0.0,0.0,False,,"{""candidate_created_argmax__candidate_unknown"": 1, ""permanent_pool_best_available"": 1, ""retired_pool_greedy_confirmed_safe"": 1}",1.713753382364909,1.1412601470947266,30.47844632466634,20.560152053833008,0.2862466176350911,0.8587398529052734,0.30554066101710003,0.9166219830513,102.0,108.0
train,Karthikeya27adv8highwayV3,Karthikeya27adv8highwayV3,17,83,100,bbb70a5efbccbeb88fb9175c4b6672ec25be6daff1b58e52319ec4613a50d6e7,-44.1234962962963,-44.1234962962963,6,collision,False,True,True,False,False,False,False,0.0,collision,True,6,0.961260174997733,0.9617178000000024,15.186907609303793,0.0,0.0,281,218,0.99,5e-05,0.0,0.0,0.0,False,,"{""candidate_created_argmax__candidate_unknown"": 5, ""retired_pool_greedy_confirmed_safe"": 1}",2.0,2.0,13.988383531570435,6.941256999969482,0.0,0.0,0.0,0.0,105.0,108.0
train,Karthikeya27adv8highwayV3,Karthikeya27adv8highwayV3,17,84,101,c9d3ca7a94bf60c768c7f1c7dfc462f75ecd74439c1df48a58dea92d2515e0e7,-40.37526320987656,-40.37526320987656,12,collision,False,True,True,False,False,False,False,0.0,collision,True,12,1.8894899259976228,1.8900737230000004,14.034520308176676,0.0,0.0,293,230,0.99,5e-05,0.0,0.0,0.0,False,,"{""candidate_created_argmax__candidate_unknown"": 10, ""permanent_pool_best_available"": 1, ""retired_pool_greedy_confirmed_safe"": 1}",2.0,2.0,13.297982970873514,4.210847854614258,0.0,0.0,0.0,0.0,102.0,108.0
train,Karthikeya27adv8highwayV3,Karthikeya27adv8highwayV3,17,85,102,7de9f5671bb49bc3933aa172dc796d94be6ae6c9e034037bff262c893be72639,-42.600000000000016,-42.600000000000016,8,collision,False,True,True,False,False,False,False,0.0,collision,True,8,1.2706181829998968,1.271085737,13.615946531295776,0.0,0.0,301,238,0.99,5e-05,0.0,0.0,0.0,False,,"{""candidate_created_argmax__candidate_unknown"": 7, ""permanent_pool_best_available"": 1}",2.0,2.0,12.015869796276093,4.031764507293701,0.0,0.0,0.0,0.0,105.75,108.0
train,Karthikeya27adv8highwayV3,Karthikeya27adv8highwayV3,17,86,103,5f5661674a0cb908ae995f9ae52e0d624347bdcfcbe46df1ec478cc7ff54e3a4,-33.89999999999999,-33.89999999999999,32,collision,False,True,True,False,False,False,False,0.0,collision,True,32,5.016294405999361,5.018063599000001,13.20370851457119,0.0,0.0,333,270,0.99,5e-05,0.0,0.0,0.0,False,,"{""candidate_created_argmax__candidate_unknown"": 30, ""permanent_pool_best_available__active_unknown_pass_last_action_pending_outcome"": 1, ""promoted_pool_first_best_available"": 1}",2.0,2.0,12.639121115207672,4.0028557777404785,0.0,0.0,0.0,0.0,88.875,90.0
train,Karthikeya27adv8highwayV3,Karthikeya27adv8highwayV3,17,87,104,e337bdd75e6d76edd1a2c6893375a73a22c2109f4e45ef15363ab81cd2350b31,-43.3,-43.3,12,collision,False,True,True,False,False,False,False,0.0,collision,True,12,1.9207890190009493,1.9210491429999976,11.686175187428793,0.0,0.0,345,282,0.99,5e-05,0.0,0.0,0.0,False,,"{""candidate_created_argmax__candidate_unknown"": 11, ""retired_pool_greedy_confirmed_safe"": 1}",2.0,2.0,12.812327345212301,4.0091872215271,0.0,0.0,0.0,0.0,90.0,90.0
train,Karthikeya27adv8highwayV3,Karthikeya27adv8highwayV3,17,88,105,fc0a3d294bcd1b62c67fa7fc5629a6ebb2f3479e8b9306f1981ddaa07f891b4d,-44.5,-44.5,12,collision,False,True,True,False,False,False,False,0.0,collision,True,12,1.938335200000438,1.938104377000002,12.574183066685995,0.0,0.0,357,294,0.99,5e-05,0.0,0.0,0.0,False,,"{""candidate_created_argmax__candidate_unknown"": 12}",2.0,2.0,12.385931849479675,4.054913520812988,0.0,0.0,0.0,0.0,90.0,90.0
