method,method_label,phase,episodes,policy_safety_stop_count,policy_safety_stop_rate,environment_steps,policy_decision_opportunities,policy_adjusted_safety_failure_count,policy_adjusted_safety_failure_rate,policy_adjusted_safety_failures_per_1000_decisions,policy_adjusted_safety_rmst_event_definition,policy_adjusted_safety_rmst,metric_treatment
Karthikeya27adv8highwayV3,Karthikeya27adv8highwayV3,train,100,0,0.0,504,504,100,1.0,198.4126984126984,collision_or_out_of_road_or_policy_safety_stop,5.040000000000001,canonical_collision_metrics_unchanged;policy_stop_is_separate_policy_failure
Karthikeya27adv8highwayV3,Karthikeya27adv8highwayV3,test,50,0,0.0,495,495,50,1.0,101.01010101010101,collision_or_out_of_road_or_policy_safety_stop,9.899999999999995,canonical_collision_metrics_unchanged;policy_stop_is_separate_policy_failure
