method,method_label,phase,episodes,collision_count,out_of_road_count,total_steps,collision_rmst_event_definition,collision_rmst,collisions_per_1000_steps,collision_rate,out_of_road_rate,goal_count,goal_rate,combined_safety_failure_count,combined_safety_failure_rate,combined_safety_failures_per_1000_steps,combined_safety_rmst_event_definition,combined_safety_rmst
Karthikeya27adv20,Karthikeya27adv20,train,500,242,299,41028,collision,150.23231062784333,5.898410841376621,0.484,0.598,3,0.006,490,0.98,11.943063273861753,collision_or_out_of_road,83.65588311688313
Karthikeya27adv20,Karthikeya27adv20,test,300,178,165,23607,collision,102.94524965276962,7.540136400220273,0.5933333333333334,0.55,1,0.0033333333333333335,299,0.9966666666666667,12.665734739695854,collision_or_out_of_road,78.73307692307694
