episode,cumulative_pools_created
73,1
76,2
78,3
81,4
83,5
84,6
84,7
87,8
87,9
89,10
90,11
97,12
98,13
103,14
104,15
108,16
116,17
118,18
119,19
120,20
121,21
121,22
123,23
124,24
128,25
130,26
132,27
135,28
136,29
139,30
141,31
144,32
146,33
146,34
146,35
147,36
151,37
151,38
155,39
160,40
161,41
162,42
163,43
166,44
167,45
168,46
173,47
173,48
178,49
190,50
202,51
210,52
214,53
224,54
230,55
239,56
258,57
264,58
264,59
291,60
304,61
311,62
324,63
338,64
341,65
373,66
378,67
399,68
399,69
409,70
418,71
433,72
