method,method_label,phase,episodes,policy_safety_stop_count,policy_safety_stop_rate,environment_steps,policy_decision_opportunities,policy_adjusted_safety_failure_count,policy_adjusted_safety_failure_rate,policy_adjusted_safety_failures_per_1000_decisions,policy_adjusted_safety_rmst_event_definition,policy_adjusted_safety_rmst,metric_treatment
Karthikeya27adv8956V2,Karthikeya27adv8956V2,train,500,0,0.0,6277,6277,500,1.0,79.65588657001753,collision_or_out_of_road_or_policy_safety_stop,12.553999999999997,canonical_collision_metrics_unchanged;policy_stop_is_separate_policy_failure
Karthikeya27adv8956V2,Karthikeya27adv8956V2,test,300,0,0.0,5131,5131,300,1.0,58.468134866497756,collision_or_out_of_road_or_policy_safety_stop,17.103333333333342,canonical_collision_metrics_unchanged;policy_stop_is_separate_policy_failure
