series_id,method,source_kind,source_name,phase,episodes,summed_episode_wall_time_seconds,summed_episode_wall_time_minutes,average_wall_time_seconds_per_episode,median_wall_time_seconds_per_episode,std_wall_time_seconds_per_episode,min_wall_time_seconds_per_episode,p25_wall_time_seconds_per_episode,p75_wall_time_seconds_per_episode,p95_wall_time_seconds_per_episode,max_wall_time_seconds_per_episode,summed_episode_cpu_time_seconds,average_cpu_time_seconds_per_episode,total_environment_steps,average_environment_steps_per_episode,average_wall_time_ms_per_environment_step
epsilon,Epsilon Greedy,baseline,epsilon,train,500,708.9039782793261,11.815066304655435,1.4178079565586523,1.1050041955895722,1.088325917292106,0.2770887492224574,0.5753952524391934,1.8793603333178908,3.3398922983789725,9.027378993108869,708.5019608099999,1.4170039216199999,2579,5.158,274.8755247302544
epsilon,Epsilon Greedy,baseline,epsilon,test,300,474.885626045987,7.914760434099784,1.5829520868199567,1.3621595248114318,0.9115522685777125,0.5443239458836615,1.0744730728911236,1.8814502148889007,3.502962346142158,7.219018846750259,474.754730428,1.5825157680933335,1747,5.823333333333333,271.8292078110973
noisy,NoisyNet DQN,baseline,noisy,train,500,769.9581275489181,12.832635459148635,1.5399162550978363,1.3924778916407377,0.8016648183104674,0.2786674150265753,1.0849946710513905,1.9346459875814617,3.083008942729793,8.26596366474405,769.3392338820033,1.5386784677640066,2761,5.522,278.86929646827895
noisy,NoisyNet DQN,baseline,noisy,test,300,465.6690083462745,7.761150139104575,1.552230027820915,1.3565419623628259,0.8568541932492384,0.5394841181114316,1.0773802818730474,1.887336179614067,3.3399220781866483,6.539339460898191,465.3250384879959,1.5510834616266531,1701,5.67,273.7619096685917
rnd,DQN + RND,baseline,rnd,train,500,702.6875127148814,11.711458545248025,1.405375025429763,1.1528423996642232,0.9797343372345936,0.2859774739481509,0.5987502315547317,1.7507543438114226,3.4120549683226264,6.600979800801724,700.2875122449977,1.4005750244899955,2441,4.882,287.86870656078713
rnd,DQN + RND,baseline,rnd,test,300,559.8608262501657,9.331013770836096,1.866202754167219,1.3544176679570228,2.1799034790041922,0.5420351182110608,1.0760504637146369,1.881532623898238,4.794197861012073,23.76763757597655,559.7022443889964,1.8656741479633214,2060,6.866666666666666,271.7771001214397
Karthikeya27adv8highway,Policy (Karthikeya27adv8highway),policy,Karthikeya27adv8highway,train,500,466.359863534075,7.772664392234583,0.93271972706815,0.6188916370010702,2.6242933807857525,0.1600653950008563,0.32158918674940645,0.9372149812497811,2.032345883097878,43.29943941500096,466.33945987199996,0.932678919744,2950,5.9,158.08808933358475
Karthikeya27adv8highway,Policy (Karthikeya27adv8highway),policy,Karthikeya27adv8highway,test,300,269.175989759955,4.486266495999249,0.8972532991998499,0.7732393779988342,0.5395219131059967,0.3120383630011929,0.6176264902442199,1.0772526979963004,1.9990561762013386,4.560127983000712,269.3875122549997,0.8979583741833324,1734,5.78,155.2341348096626
Karthikeya27adv8highwayV2,Policy (Karthikeya27adv8highwayV2),policy,Karthikeya27adv8highwayV2,train,500,444.723710943952,7.412061849065867,0.889447421887904,0.7727302734965633,0.8326077645150637,0.1583543910019216,0.32950970024830895,1.1023568109958433,2.1783817884996095,10.068964070997026,444.8990619040003,0.8897981238080006,2801,5.602,158.7731920542492
Karthikeya27adv8highwayV2,Policy (Karthikeya27adv8highwayV2),policy,Karthikeya27adv8highwayV2,test,300,259.0847425619577,4.318079042699295,0.863615808539859,0.7635713384988776,0.46693726786643525,0.3072636430006241,0.6095521472543624,1.0575996859952284,1.8396343161977713,3.732583784003509,259.27220639900065,0.8642406879966689,1688,5.626666666666667,153.48622189689436
Karthikeya27adv8highwayV3,Policy (Karthikeya27adv8highwayV3),policy,Karthikeya27adv8highwayV3,train,500,511.7753044539204,8.52958840756534,1.0235506089078408,0.842062060997705,0.9865150161635453,0.2155129889943055,0.4355523712492868,1.2696584597561011,2.719964737100963,10.197960085999512,511.90030165300016,1.0238006033060003,2395,4.79,213.6848870371275
Karthikeya27adv8highwayV3,Policy (Karthikeya27adv8highwayV3),policy,Karthikeya27adv8highwayV3,test,300,363.31705050014716,6.055284175002453,1.2110568350004904,1.0462458879992482,0.6768857118551193,0.4194089590018848,0.8337640485024167,1.4548400905005108,2.6780511058466803,5.227971639993484,363.58419369800197,1.2119473123266733,1734,5.78,209.5254039793236
Karthikeya27adv8highwayV4,Policy (Karthikeya27adv8highwayV4),policy,Karthikeya27adv8highwayV4,train,500,473.46785232500406,7.891130872083401,0.9469357046500081,0.6366655339988938,3.5855740781254393,0.1588545229969895,0.3294636245009315,0.9776833585019632,1.9177079311502894,80.06921400000283,473.4994156239998,0.9469988312479997,2974,5.948,159.20237132649765
Karthikeya27adv8highwayV4,Policy (Karthikeya27adv8highwayV4),policy,Karthikeya27adv8highwayV4,test,300,280.23484771404765,4.670580795234128,0.9341161590468254,0.7731791945006989,0.6239431933483632,0.1650758920004591,0.6156184647534246,1.0787294960009604,2.188241212547655,4.808106582000619,280.44041899699977,0.9348013966566658,1794,5.98,156.20671555966982
Karthikeya27adv8highwayV5,Policy (Karthikeya27adv8highwayV5),policy,Karthikeya27adv8highwayV5,train,500,542.1418278360434,9.035697130600722,1.0842836556720867,0.9386593780000112,0.8898199439028641,0.1585832139971899,0.47765455074841157,1.396528727498662,2.6798398851529774,7.78032543000154,542.0807581039996,1.0841615162079994,3430,6.86,158.05884193470655
Karthikeya27adv8highwayV5,Policy (Karthikeya27adv8highwayV5),policy,Karthikeya27adv8highwayV5,test,300,270.4031926949392,4.506719878248987,0.9013439756497974,0.7736829099994793,0.5405879773877025,0.3097662110012606,0.6138202879992605,1.082679596998787,1.7076990215478893,5.340389775999938,270.59660887399923,0.9019886962466641,1752,5.84,154.33972185784202
Karthikeya27adv8956V2,Policy (Karthikeya27adv8956V2),policy,Karthikeya27adv8956V2,train,500,990.4795374540263,16.50799229090044,1.9809590749080526,1.575356424502388,1.842186924843955,0.15898676100187,0.622198350243707,2.764641541256424,5.1509369090999755,18.89126545700128,990.604302894999,1.981208605789998,6277,12.554,157.7950513707227
Karthikeya27adv8956V2,Policy (Karthikeya27adv8956V2),policy,Karthikeya27adv8956V2,test,300,796.2976448720001,13.271627414533334,2.654325482906667,2.137358605999907,2.0019565070386864,0.464443350007059,1.2598498905026643,3.288435551996372,7.307883049904922,12.629982693993952,796.8911905079965,2.6563039683599885,5131,17.10333333333333,155.1934603141688
