method,method_label,phase,episodes,collision_count,out_of_road_count,total_steps,collision_rmst_event_definition,collision_rmst,collisions_per_1000_steps,collision_rate,out_of_road_rate,goal_count,goal_rate,combined_safety_failure_count,combined_safety_failure_rate,combined_safety_failures_per_1000_steps,combined_safety_rmst_event_definition,combined_safety_rmst
noisy,NoisyNet DQN,train,500,361,146,6425,collision,16.71926158914739,56.18677042801556,0.722,0.292,0,0.0,500,1.0,77.82101167315174,collision_or_out_of_road,12.850000000000001
noisy,NoisyNet DQN,test,300,299,1,5125,collision,17.126636636636643,58.34146341463415,0.9966666666666667,0.0033333333333333335,0,0.0,300,1.0,58.53658536585366,collision_or_out_of_road,17.083333333333343
