method,method_label,phase,episodes,policy_safety_stop_count,policy_safety_stop_rate,environment_steps,policy_decision_opportunities,policy_adjusted_safety_failure_count,policy_adjusted_safety_failure_rate,policy_adjusted_safety_failures_per_1000_decisions,policy_adjusted_safety_rmst_event_definition,policy_adjusted_safety_rmst,metric_treatment
Karthikeya27adv20,Karthikeya27adv20,train,500,0,0.0,33886,33886,496,0.992,14.637313344744141,collision_or_out_of_road_or_policy_safety_stop,68.50439999999998,canonical_collision_metrics_unchanged;policy_stop_is_separate_policy_failure
Karthikeya27adv20,Karthikeya27adv20,test,300,0,0.0,27553,27553,288,0.96,10.452582295938736,collision_or_out_of_road_or_policy_safety_stop,92.59315789473679,canonical_collision_metrics_unchanged;policy_stop_is_separate_policy_failure
