method,method_label,phase,episodes,collision_survival_estimator,collision_event_count,collision_censored_count,collision_rmst_tau_steps,collision_rmst_steps,maximum_step_horizon,maximum_step_completion_count,maximum_step_completion_rate
Karthikeya27adv8highwayV4,Karthikeya27adv8highwayV4,train,500,Kaplan-Meier,283,217,500,10.493518260541938,500,1,0.002
Karthikeya27adv8highwayV4,Karthikeya27adv8highwayV4,test,300,Kaplan-Meier,298,2,500,6.01098044856811,500,0,0.0
