experiment,method,learning_rate,average_train_env_reward,median_train_env_reward,std_train_env_reward,average_train_total_reward,average_test_reward,median_test_reward,mode_test_reward,std_test_reward,min_test_reward,max_test_reward,q1_test_reward,q3_test_reward,convergence_episode,convergence_time_seconds,total_training_wall_time_seconds,train_collision_rate,test_collision_rate,network_frozen_during_testing
standard_epsilon,Epsilon,5e-05,33.40576854155914,26.97191185740349,28.012332565983908,34.4987750748214,31.066697656612313,25.846424685337006,70.915629,21.41357094942054,6.692896671274566,113.96540706605228,11.957690929262226,40.50000658039579,10,29.00643346786499,1450.3216733932495,0.998,1.0,True
median_50,Median 50,5e-05,33.38448721729742,25.413234826022453,28.63328709691031,34.53135696274296,33.97942167991976,28.93271163734732,70.915629,23.766724182409384,6.459360057117918,146.81175807594147,15.590718907280412,43.556704115096444,10,29.11189565181732,1455.594782590866,0.998,1.0,True
median_50_first,Median First 50,5e-05,96.34832567623025,49.140518181154555,115.59265867960269,99.11121207991744,28.10442199036884,23.483536744517465,11.283182,20.487582653642534,5.5785920518241685,113.96540706605228,11.608738999588532,35.59095402450324,10,99.01199074268341,4950.5995371341705,0.832,1.0,True
