method,method_label,phase,episodes,collision_count,out_of_road_count,total_steps,collision_rmst_event_definition,collision_rmst,collisions_per_1000_steps,collision_rate,out_of_road_rate,goal_count,goal_rate,combined_safety_failure_count,combined_safety_failure_rate,combined_safety_failures_per_1000_steps,combined_safety_rmst_event_definition,combined_safety_rmst
rnd,DQN + RND,train,500,307,239,2285,collision,14.730851403125545,134.35448577680526,0.614,0.478,0,0.0,500,1.0,218.8183807439825,collision_or_out_of_road,4.5699999999999985
rnd,DQN + RND,test,300,298,4,1709,collision,5.723383928571427,174.3709771796372,0.9933333333333333,0.013333333333333334,0,0.0,300,1.0,175.54125219426564,collision_or_out_of_road,5.696666666666667
